ASV_ID	SRR23096793	SRR23096794	SRR23096795	SRR23096796	SRR23096797	SRR23096798	SRR23096799	SRR23096800	SRR23096801	SRR23096802	SRR23096803	SRR23096804	SRR23096805	SRR23096806	SRR23096807	SRR23096808	SRR23096809	SRR23096810	SRR23096811	SRR23096812	SRR23096813	SRR23096814	SRR23096815	SRR23096816	SRR23096817	SRR23096818	SRR23096819	SRR23096820	SRR23096821	SRR23096822	SRR23096823	SRR23096824	SRR23096825	SRR23096826	SRR23096827	SRR23096828	SRR23096829	SRR23096830	SRR23096831	SRR23096832	SRR23096833	SRR23096834	SRR23096835	SRR23096836	SRR23096837	SRR23096838	SRR23096839	SRR23096840	SRR23096841	SRR23096842	SRR23096843	SRR23096844	SRR23096845	SRR23096846	SRR23096847	SRR23096848	SRR23096849	SRR23096850	SRR23096851	SRR23096852	SRR23096853	SRR23096854	SRR23096855	SRR23096856	SRR23096857	SRR23096858	SRR23096859	SRR23096860	SRR23096861	SRR23096862	SRR23096863	SRR23096864	SRR23096865	SRR23096866	SRR23096867	SRR23096868	SRR23096869	SRR23096870	SRR23096871	SRR23096872	SRR23096873	SRR23096874	SRR23096875	SRR23096876	SRR23096877	SRR23096878	SRR23096879	SRR23096880	SRR23096881	SRR23096882	SRR23096883	SRR23096884	SRR23096885	SRR23096886	SRR23096887	SRR23096888	SRR23096889	SRR23096890	SRR23096891
ASV_21	309	235	0	0	0	27	0	79	211	107	303	0	122	162	7	77	239	15	87	168	60	98	0	0	0	0	0	55	26	0	0	0	3	15	110	0	38	29	0	89	0	11	91	33	41	32	0	0	288	0	50	38	175	466	239	170	135	39	89	11	18	26	210	77	0	72	0	0	22	136	72	414	0	0	24	0	0	202	0	0	165	45	161	0	0	0	42	67	12	44	18	0	0	0	0	0	0	93	166
ASV_22	297	212	0	0	0	15	0	84	218	120	346	0	138	187	7	82	209	21	76	150	49	110	0	0	0	0	0	65	23	0	0	0	9	18	93	0	45	38	0	90	0	18	101	47	40	28	0	0	236	0	87	25	148	381	184	127	130	25	76	3	8	22	229	77	0	60	0	0	27	164	91	417	0	0	39	0	0	273	0	0	170	41	204	0	0	0	45	64	11	42	25	0	0	0	0	0	0	118	174
ASV_23	257	216	0	0	0	15	0	82	170	125	333	0	97	190	10	80	223	19	64	170	72	110	0	0	0	0	0	108	26	0	0	0	9	14	104	0	39	40	0	58	0	20	101	73	22	28	0	0	246	0	67	23	144	436	193	127	112	29	74	0	6	31	174	60	0	58	0	0	24	108	85	427	0	0	27	0	0	255	0	0	184	51	225	0	0	0	40	64	12	33	29	0	0	0	0	0	0	81	128
ASV_24	232	155	0	0	0	173	18	189	105	89	144	101	195	0	218	215	120	95	148	0	251	138	22	0	117	0	0	57	55	13	0	0	51	0	152	16	78	95	0	0	14	0	0	101	19	13	28	143	108	0	0	0	94	36	52	0	85	60	36	0	0	0	0	0	0	0	108	52	134	90	0	257	22	0	146	13	0	0	0	230	119	287	0	0	0	200	24	134	34	52	25	0	0	0	0	0	0	92	126
ASV_25	108	109	0	0	0	132	0	198	67	73	132	91	179	0	172	137	76	105	131	0	304	190	21	0	141	0	0	53	47	7	0	0	112	0	163	39	106	88	0	0	12	0	0	125	14	16	30	192	92	0	0	0	133	42	50	0	34	18	18	0	0	0	0	0	0	0	43	18	78	73	0	145	28	0	331	26	0	0	0	355	135	451	0	0	0	185	19	165	53	70	39	0	0	0	0	0	0	63	90
ASV_26	212	139	0	0	0	158	0	182	72	92	155	118	199	0	224	234	152	101	143	0	259	143	12	0	102	0	0	38	61	10	0	0	46	0	110	13	82	91	0	0	13	0	0	111	14	26	21	152	104	0	0	0	110	61	39	0	56	46	46	0	0	0	0	0	0	0	83	32	125	99	0	257	26	14	175	12	0	0	0	224	129	274	0	0	0	156	11	157	40	53	36	11	0	0	0	0	0	99	147
ASV_27	129	92	0	0	0	151	41	206	58	79	122	101	197	0	136	118	94	100	92	0	304	210	15	0	112	0	0	40	65	5	0	0	95	0	184	38	78	70	0	0	6	0	0	109	9	20	33	187	71	0	0	0	104	53	30	0	28	22	17	0	0	0	0	0	0	0	39	28	97	78	0	140	26	0	314	12	0	0	0	442	143	436	0	0	0	206	17	207	48	46	38	0	0	0	0	0	0	53	78
ASV_28	240	186	0	0	0	15	0	86	179	112	337	0	122	153	9	67	182	12	67	158	48	117	0	0	0	0	0	70	15	0	0	0	9	18	111	0	44	35	0	67	0	20	95	50	30	20	0	0	268	0	73	19	138	341	165	130	119	23	72	10	13	21	172	65	0	54	0	0	32	129	73	330	0	0	42	0	0	232	0	0	166	61	192	0	0	0	39	64	8	46	23	0	0	0	0	0	0	104	148
ASV_29	346	223	0	0	0	16	0	53	183	134	302	0	104	166	13	95	256	16	62	165	51	83	0	0	0	0	0	60	26	0	0	0	7	7	59	0	20	23	0	66	0	16	70	42	19	29	0	0	204	0	41	16	102	333	178	153	156	33	73	0	12	27	192	75	0	84	0	0	29	141	92	452	0	0	26	0	0	173	0	0	146	30	140	0	0	0	40	59	7	38	16	0	0	0	0	0	0	71	140
ASV_30	83	65	0	0	0	121	24	163	54	58	85	122	179	0	102	92	69	90	81	0	337	250	23	0	148	0	0	35	45	4	0	0	104	0	207	49	70	93	0	0	10	0	0	120	14	14	33	207	83	0	0	0	109	46	35	0	22	13	32	0	0	0	0	0	0	0	29	19	94	58	0	100	17	0	400	13	0	0	0	504	181	466	0	0	0	191	11	156	56	59	42	0	0	0	0	0	0	45	50
ASV_31	68	85	0	0	0	117	0	157	40	64	121	97	161	0	122	116	75	89	82	0	286	249	23	0	173	0	0	50	52	9	0	0	119	0	177	24	81	100	0	0	7	0	0	100	14	11	42	195	84	0	0	0	117	41	48	0	28	10	29	0	0	0	0	0	0	0	32	21	71	46	0	88	23	0	437	14	0	0	0	433	142	554	0	0	0	208	7	152	58	66	40	0	0	0	0	0	0	54	63
ASV_32	172	140	0	0	0	136	0	159	87	86	160	118	184	0	165	191	117	87	115	0	270	153	11	0	114	0	0	45	72	9	0	0	65	0	135	18	114	88	0	0	5	0	0	86	23	17	21	166	77	0	0	0	131	50	34	0	55	48	34	0	0	0	0	0	0	0	82	30	133	84	0	163	18	0	213	14	0	0	0	296	112	316	0	0	0	162	15	151	50	54	26	0	0	0	0	0	0	71	108
ASV_33	307	216	0	0	0	14	0	57	207	107	286	0	131	137	10	77	239	7	80	155	45	67	0	0	0	0	0	57	12	0	0	0	8	6	74	0	31	28	0	67	0	11	75	36	20	33	0	0	210	0	38	33	130	306	147	143	129	23	62	10	12	31	220	75	0	70	0	0	15	161	87	417	0	0	28	0	0	177	0	0	120	21	136	0	0	0	32	50	6	32	14	0	0	0	0	0	0	87	148
ASV_34	171	109	0	0	0	156	0	191	78	63	134	110	196	0	145	203	126	114	118	0	250	171	26	0	130	0	0	34	46	11	0	0	69	0	148	26	78	80	0	0	14	0	0	89	12	20	24	140	87	0	0	0	105	59	53	0	54	35	35	0	0	0	0	0	0	0	67	25	123	84	0	153	18	0	245	25	0	0	0	272	101	327	0	0	0	203	13	123	42	45	19	0	0	0	0	0	0	65	99
ASV_35	138	90	0	0	0	133	41	176	66	70	136	95	165	0	145	140	80	83	95	0	323	174	22	0	115	0	0	27	48	8	0	0	92	0	146	35	64	84	0	0	11	0	0	104	25	22	38	163	78	0	0	0	89	54	40	0	37	21	32	0	0	0	0	0	0	0	34	21	102	64	0	142	19	0	264	13	0	0	0	335	145	387	0	0	0	180	9	148	50	39	32	0	0	0	0	0	0	53	101
ASV_36	122	115	0	0	0	135	0	155	49	78	129	117	162	0	142	149	69	123	108	0	269	170	22	0	127	0	0	41	49	8	0	0	78	0	141	28	79	72	0	0	9	0	0	99	13	15	37	168	78	0	0	0	110	45	50	0	49	25	24	0	0	0	0	0	0	0	58	21	89	66	0	132	15	38	263	18	0	0	0	339	109	389	0	0	0	213	13	150	49	55	33	0	0	0	0	0	0	48	76
ASV_37	236	170	0	0	0	17	0	65	154	102	240	0	114	136	11	67	197	12	82	148	61	110	0	0	0	0	0	58	14	0	0	0	7	8	90	0	42	45	0	73	0	13	83	41	18	28	0	0	222	0	51	31	130	288	178	110	130	27	57	6	13	23	142	60	0	64	0	0	24	118	116	353	0	0	18	0	0	219	0	0	156	44	182	0	0	0	42	70	3	46	17	0	0	0	0	0	0	78	103
ASV_38	232	173	0	0	0	22	0	54	158	95	292	0	91	137	8	58	199	11	53	150	52	89	0	0	0	0	0	54	18	0	0	0	7	13	73	0	35	41	0	79	0	20	83	38	25	26	0	0	208	0	66	23	142	352	168	120	117	32	41	7	7	41	182	69	0	66	0	0	20	133	71	362	0	0	34	0	0	198	0	0	134	30	167	0	0	0	39	72	11	37	22	0	0	0	0	0	0	81	123
ASV_39	148	186	0	0	0	14	0	51	122	116	294	0	104	142	12	49	141	20	60	105	78	178	0	0	0	0	0	81	14	0	0	0	10	26	113	0	34	37	0	36	0	23	111	52	25	25	0	0	184	0	75	23	131	355	179	78	76	10	57	0	11	23	107	22	0	40	0	0	22	89	78	259	0	0	53	0	0	370	0	0	203	75	299	0	0	0	31	74	10	31	20	0	0	0	0	0	0	45	105
ASV_40	222	215	0	0	0	27	0	66	183	100	323	0	87	165	6	75	212	16	64	132	29	83	0	0	0	0	0	78	23	0	0	0	12	10	77	0	35	33	0	66	0	18	88	46	19	22	0	0	228	0	59	22	111	348	143	108	137	27	62	0	11	13	150	54	0	69	0	0	29	124	74	341	0	0	35	0	0	198	0	0	136	40	158	0	0	0	25	67	15	32	10	0	0	0	0	0	0	63	117
ASV_41	234	147	0	0	0	23	0	59	159	97	270	0	108	140	13	83	190	21	71	154	43	102	0	0	0	0	0	65	14	0	0	0	5	11	65	0	28	47	0	57	30	17	67	42	17	17	0	0	199	0	45	25	131	328	158	111	119	28	67	0	14	23	176	59	0	69	0	0	20	99	68	344	0	0	36	0	0	235	0	0	151	54	171	0	0	0	35	65	15	41	18	0	0	0	0	0	0	70	111
ASV_42	164	137	0	0	0	159	0	164	71	74	141	86	169	0	199	162	109	76	129	0	231	134	17	0	96	0	0	40	42	21	0	0	62	0	127	22	72	78	0	0	16	0	0	95	19	14	32	145	85	0	0	0	85	58	50	0	61	46	34	0	0	0	0	0	0	0	72	36	107	78	0	161	26	0	181	14	0	0	0	249	107	278	0	0	0	155	12	138	45	56	22	0	0	0	0	0	0	92	115
ASV_43	134	111	0	0	0	122	0	169	76	62	140	122	192	0	163	159	102	82	110	0	253	140	23	0	130	0	0	54	50	9	0	0	58	0	128	14	70	88	0	0	12	0	0	91	20	12	43	130	100	0	0	0	90	40	53	0	46	28	39	0	0	0	0	0	0	0	43	39	106	92	0	170	16	0	218	12	0	0	0	268	110	299	0	0	0	165	11	171	46	30	24	0	0	0	0	0	0	71	90
ASV_44	135	115	0	0	0	133	0	169	73	55	136	100	192	0	146	163	99	96	100	0	274	129	17	0	101	0	0	47	37	23	0	0	62	0	140	23	72	61	0	0	13	0	0	117	12	15	26	134	89	0	0	0	91	53	50	0	62	31	34	0	0	0	0	0	0	0	72	36	118	75	0	134	20	0	218	13	0	0	0	236	109	323	0	0	0	167	22	153	59	38	34	0	0	0	0	0	0	71	98
ASV_45	160	158	0	0	0	14	0	76	173	85	235	0	104	126	11	44	135	16	81	101	61	142	0	0	0	0	0	66	17	0	0	0	15	17	113	0	58	39	0	46	0	8	107	51	20	24	0	0	220	0	53	30	147	317	165	59	58	21	45	4	14	17	120	36	0	33	0	0	26	113	48	251	0	0	82	0	0	307	0	0	184	63	251	0	0	0	27	60	10	55	26	0	0	0	0	0	0	56	112
ASV_46	0	0	85	33	34	13	17	27	18	14	17	12	19	7	17	68	24	24	42	58	46	52	31	27	66	34	77	26	66	20	148	103	20	110	11	126	68	108	8	45	0	115	48	33	47	95	44	58	50	0	43	11	23	46	0	9	25	12	8	55	125	183	92	59	9	51	77	38	48	22	64	113	20	54	60	0	59	208	26	55	15	108	182	0	166	26	79	20	25	52	26	169	121	148	107	66	45	26	37
ASV_47	94	73	0	0	0	103	0	143	55	53	112	95	156	0	135	99	61	94	103	0	311	185	21	0	143	0	0	48	33	6	0	0	94	0	147	29	70	68	0	0	16	0	0	85	9	4	41	147	82	0	0	0	83	34	49	0	22	13	29	0	0	0	0	0	0	0	36	14	79	75	0	100	15	0	322	13	0	0	0	363	122	368	0	0	0	221	9	134	37	39	16	0	0	0	0	0	0	46	56
ASV_48	141	108	0	0	0	136	0	146	66	56	118	80	172	0	141	136	100	71	116	0	254	140	24	0	81	0	0	24	48	10	0	0	57	0	112	19	74	58	0	0	16	0	0	98	18	17	44	134	96	0	0	0	106	37	49	0	42	38	32	0	0	0	0	0	0	0	56	36	95	79	0	134	13	0	207	11	0	0	0	256	88	296	0	0	0	188	12	178	39	38	29	0	0	0	0	0	0	107	71
ASV_49	203	150	0	0	0	22	0	47	136	90	248	0	90	131	7	66	190	15	60	157	47	90	0	0	0	0	0	73	23	0	0	0	6	15	90	0	36	23	0	56	0	10	102	44	38	26	0	0	186	0	74	26	117	318	190	97	108	21	62	6	17	29	127	53	0	54	0	0	23	100	74	296	0	0	25	0	0	198	0	0	117	41	138	0	0	0	31	64	11	42	19	0	0	0	0	0	0	67	102
ASV_50	0	0	79	44	52	20	28	34	12	31	18	4	16	15	10	69	21	14	34	79	46	50	33	32	65	49	80	30	60	0	143	113	15	102	15	105	53	107	7	46	0	72	48	45	51	95	46	43	0	0	40	8	27	0	0	9	16	19	6	75	133	185	99	58	10	45	97	44	46	32	51	0	14	49	56	0	64	230	23	56	20	102	194	0	150	27	84	13	18	36	35	184	127	163	133	66	43	33	35
ASV_51	71	76	0	0	0	105	0	140	47	70	121	86	151	0	116	100	69	76	94	0	288	160	24	0	112	0	0	41	38	21	0	0	88	0	144	25	76	60	0	0	13	0	0	94	10	10	38	145	68	0	0	0	83	30	39	0	24	16	14	0	0	0	0	0	0	0	38	18	73	73	0	104	8	0	311	10	0	0	0	361	133	425	0	0	0	176	8	116	43	40	30	0	0	0	0	0	0	51	61
ASV_52	148	89	0	0	0	121	0	146	68	76	138	73	154	0	177	168	110	75	113	0	225	111	13	0	98	0	0	51	56	10	0	0	47	0	120	20	72	78	0	0	14	0	0	80	17	13	33	121	88	0	0	0	88	36	33	0	54	42	26	0	0	0	0	0	0	0	75	30	106	71	0	162	18	0	154	17	0	0	0	228	102	295	0	0	0	161	14	156	45	34	21	0	0	0	0	0	0	75	77
ASV_53	211	150	0	0	0	16	0	57	137	86	230	0	100	127	7	65	182	19	43	106	45	75	0	0	0	0	0	65	17	0	0	0	4	18	72	0	31	32	0	62	0	18	80	50	24	23	0	0	230	0	51	24	107	285	160	103	101	30	59	0	7	22	137	60	0	55	0	0	22	98	70	306	0	0	33	0	0	177	0	0	140	34	170	0	0	0	35	59	12	35	17	0	0	0	0	0	0	55	102
ASV_54	238	176	0	0	0	18	0	54	161	86	223	0	90	128	9	66	202	15	49	151	39	88	0	0	0	0	0	52	18	0	0	0	7	13	54	0	24	25	0	70	0	20	65	31	25	21	0	0	162	0	52	25	103	278	130	103	124	21	59	5	13	26	161	52	0	78	0	0	20	129	75	368	0	0	16	0	0	147	0	0	121	23	105	0	0	0	29	61	4	33	21	0	0	0	0	0	0	66	118
ASV_55	119	97	0	0	0	129	0	149	57	61	146	106	163	0	163	137	93	74	94	0	239	131	20	0	117	0	0	38	50	19	0	0	62	0	132	17	77	77	0	0	8	0	0	93	14	16	27	133	88	0	0	0	85	30	48	0	25	33	34	0	0	0	0	0	0	0	45	30	101	67	0	148	23	0	161	11	0	0	0	220	90	288	0	0	0	160	13	121	49	41	28	0	0	0	0	0	0	73	69
ASV_56	92	77	0	0	0	122	23	132	65	68	93	82	154	0	126	119	78	80	89	0	254	167	33	0	106	0	0	34	39	7	0	0	79	0	147	17	82	79	0	0	14	0	0	87	16	15	27	127	98	0	0	0	106	36	32	0	30	16	17	0	0	0	0	0	0	0	39	32	83	59	0	97	12	0	253	12	0	0	0	331	106	337	0	0	0	142	11	134	37	33	24	0	0	0	0	0	0	65	61
ASV_57	96	82	0	0	0	124	0	138	51	70	105	82	169	0	113	84	72	87	91	0	230	164	22	0	107	0	0	36	40	7	0	0	84	0	139	33	66	72	0	0	8	0	0	98	8	11	33	135	74	0	0	0	92	41	44	0	22	18	17	0	0	0	0	0	0	0	40	15	75	51	0	90	19	0	274	12	0	0	0	326	98	361	0	0	0	178	12	152	40	41	23	0	0	0	0	0	0	57	69
ASV_58	0	0	74	31	36	14	19	34	12	21	24	11	19	18	22	66	27	17	29	69	68	71	28	19	54	43	72	24	50	0	120	125	15	107	10	128	41	119	7	31	25	101	40	27	45	100	69	42	0	0	34	17	25	0	0	8	23	20	9	66	144	171	84	62	10	44	90	40	35	25	73	0	23	50	55	0	62	224	33	62	32	112	183	0	149	23	50	9	28	21	23	123	88	152	102	68	48	21	31
