ASV_ID	SRR6010742	SRR6010743	SRR6010744	SRR6010745	SRR6010746	SRR6010747	SRR6010748	SRR6010749	SRR6010750	SRR6010751	SRR6010752	SRR6010753	SRR6010754	SRR6010755	SRR6010756	SRR6010757	SRR6010758	SRR6010759	SRR6010760	SRR6010761	SRR6010762	SRR6010763	SRR6010764	SRR6010765	SRR6010766	SRR6010767	SRR6010768	SRR6010769	SRR6010770	SRR6010771	SRR6010772	SRR6010773	SRR6010774	SRR6010775	SRR6010776	SRR6010777	SRR6010778	SRR6010779	SRR6010780	SRR6010781	SRR6010782	SRR6010783	SRR6010784	SRR6010785	SRR6010786	SRR6010787	SRR6010788	SRR6010789	SRR6010790	SRR6010791	SRR6010792	SRR6010793	SRR6010794	SRR6010795	SRR6010796	SRR6010797	SRR6010798	SRR6010799	SRR6010800	SRR6010801	SRR6010802	SRR6010803	SRR6010804	SRR6010805	SRR6010806	SRR6010807	SRR6010808	SRR6010809	SRR6010810	SRR6010811	SRR6010812	SRR6010813	SRR6010814	SRR6010815	SRR6010816	SRR6010817	SRR6010818	SRR6010819	SRR6010820	SRR6010821
ASV_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	7397	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	12160
ASV_28	0	0	0	0	0	82	59	142	0	1590	235	173	144	307	108	1297	74	307	325	239	157	204	67	359	190	231	0	0	0	0	0	0	41	0	0	201	687	0	382	0	330	94	667	633	114	0	0	1069	0	0	96	0	962	630	0	98	223	0	836	261	173	525	755	352	472	714	1586	0	0	886	0	0	461	0	0	0	0	0	0	0
ASV_29	4968	166	13143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	223	143	0	40	0	0	37	0	0	0	0	0	0	0	0	0	500	0	0	182	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_30	0	0	0	0	450	321	2078	0	727	0	1144	77	0	0	4109	90	542	0	181	0	112	10	0	123	0	0	0	0	0	0	0	0	1873	0	11	208	0	0	0	3628	55	0	0	0	0	0	0	38	253	0	115	0	64	0	0	304	0	0	0	15	0	146	0	424	0	1334	0	0	0	376	0	0	197	0	0	392	0	0	0	0
ASV_31	0	0	0	0	0	0	0	313	0	230	102	150	0	144	184	299	0	1155	531	179	474	285	321	228	692	0	0	0	0	0	0	0	97	0	0	188	1085	0	164	105	0	236	509	770	0	311	19	950	0	26	0	0	1147	922	0	0	0	0	551	0	0	181	248	0	1354	122	1364	0	0	2026	0	10	1363	0	0	41	0	0	0	0
ASV_32	5117	250	11969	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	79	0	0	39	0	0	0	0	0	0	0	0	0	0	0	524	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	55	198	0	0
ASV_33	4983	388	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	156	0	130	0	46	22	0	6291	0	0	0	0	0	0	0	0	0	0	0	98	0	0	52	0	74	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	138	579	0	5259	0	0	180	93	0	0	42	0	0
ASV_34	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	7170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	11281
ASV_35	0	0	0	0	0	0	0	395	80	150	0	0	177	0	0	3760	0	470	0	0	374	379	5768	139	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	280	444	0	0	0	0	148	360	0	0	0	1032	433	0	126	0	0	0	1192	0	127	1178	219	775	163	202	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_36	0	0	0	0	0	0	0	270	0	166	123	211	0	109	239	415	0	940	475	125	386	279	192	326	796	0	0	0	0	0	0	30	103	0	0	0	1329	154	103	0	0	249	566	859	0	249	0	885	0	0	0	0	1050	758	0	160	0	0	371	0	0	145	87	0	1049	189	1326	0	0	2005	0	0	1378	0	0	0	0	0	0	11
ASV_37	0	0	0	0	367	228	2432	0	773	0	1232	0	0	0	4456	141	350	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	1715	0	0	0	122	0	0	2870	0	0	0	0	0	0	0	0	229	0	0	0	0	0	101	215	234	0	0	0	0	0	0	342	16	1205	87	0	0	295	0	9	167	0	0	314	0	0	0	0
ASV_38	422	1189	139	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	302	141	144	0	2051	0	2114	1379	0	30	0	0	0	0	0	0	0	0	0	735	0	0	0	0	897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	847	659	0	0	2338	0	230	200	0	241	3477	0	48
ASV_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	6626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	10927
ASV_40	0	0	0	0	260	819	245	0	0	394	0	181	106	77	0	0	2208	0	0	0	0	0	172	0	101	0	0	0	0	0	0	0	1781	0	0	2509	1846	0	0	725	0	0	0	0	355	0	0	681	0	0	0	0	237	0	1426	90	811	0	0	145	0	590	0	170	101	155	81	0	0	43	0	0	0	0	0	592	0	0	0	0
ASV_41	0	30	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16629	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0
ASV_42	0	0	0	0	0	0	0	0	130	1485	0	0	126	154	128	1022	36	822	414	257	428	0	176	175	548	0	0	0	0	0	0	0	0	0	0	153	0	0	196	0	221	0	548	444	0	31	0	1261	0	0	0	0	2109	843	0	44	0	0	726	69	104	298	839	81	225	295	0	0	0	1534	0	0	675	0	0	0	0	0	0	0
ASV_43	0	0	0	0	0	0	153	0	8234	0	7941	37	0	0	0	0	28	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_44	0	0	0	0	0	0	0	184	0	3670	287	271	224	0	2254	155	294	0	145	0	147	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	229	2286	0	1711	341	0	0	0	265	0	0	158	0	0	0	0	0	0	0	107	0	0	0	138	0	516	0	133	73	1817	152	0	0	0	0	0	0	0	0	935	0	0	0	0
ASV_45	5261	409	50	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	148	26	99	0	0	0	207	4352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	63	684	0	4638	33	0	180	0	0	0	0	7	29
ASV_46	0	0	0	0	199	718	237	0	0	420	61	298	140	77	0	77	1887	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	1484	0	0	2569	1911	0	0	722	0	50	0	0	396	0	0	553	0	0	0	0	366	0	1400	78	955	0	49	110	0	559	108	174	0	125	0	0	0	0	0	0	0	0	0	500	0	0	0	0
ASV_47	0	0	0	0	0	0	0	0	128	1691	94	0	168	190	170	1176	0	697	425	190	397	0	188	175	562	0	0	0	0	0	0	0	0	0	0	206	0	0	179	0	165	0	667	551	0	0	0	1101	0	0	0	0	1779	698	0	56	0	0	628	0	162	294	953	0	247	343	0	0	0	1372	0	0	720	0	0	0	0	0	0	0
ASV_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13956	0	0	534	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	135	74	1366	0
ASV_49	0	0	0	0	0	0	0	0	0	3477	107	153	228	0	1884	0	362	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	2217	0	1933	456	0	0	0	196	0	0	230	0	0	0	0	0	0	0	155	0	0	0	276	0	525	0	133	0	2048	343	0	0	0	0	0	0	0	0	1144	0	0	0	0
ASV_50	439	1106	142	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	272	106	128	0	1678	29	1943	1074	0	0	0	0	0	0	0	0	0	0	0	710	0	0	0	0	1059	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	752	756	0	0	1921	0	206	199	0	0	3202	0	0
ASV_51	0	0	0	0	0	0	68	421	0	91	0	0	165	0	0	4052	0	409	0	0	292	374	3753	163	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	512	124	0	0	0	0	298	0	0	0	873	238	67	113	0	0	190	1062	0	188	1127	206	636	242	152	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	53	0	0
ASV_53	258	512	292	1062	0	0	0	241	157	0	162	432	195	559	0	71	0	0	270	0	163	0	0	97	0	274	0	351	250	0	0	99	0	236	567	0	68	168	971	0	0	222	162	299	0	0	0	203	97	987	1864	131	0	0	119	176	133	0	255	177	0	185	115	0	145	178	135	0	0	0	125	837	81	165	0	0	134	1340	0	0
ASV_54	0	0	0	0	0	0	0	0	88	1473	48	0	96	104	159	892	0	751	439	181	432	0	185	152	532	0	0	0	0	0	0	0	0	0	0	95	0	0	191	0	137	36	536	447	0	0	0	1128	0	0	0	0	1979	744	110	0	0	0	728	50	79	296	812	53	238	341	0	0	0	1476	0	24	651	0	0	0	0	0	0	0
ASV_55	0	0	0	0	0	0	122	0	7765	39	7232	0	0	0	24	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	231	0	0	0	0	0	0	0	23	0	33	0	0	0	0	0	0	31	36	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_56	0	0	52	0	0	0	0	0	113	1693	56	0	161	117	140	1014	0	663	377	176	342	0	180	184	471	0	0	0	0	0	0	0	0	0	0	119	0	0	163	0	109	0	730	562	0	0	0	902	0	0	0	0	1722	708	0	147	0	0	651	76	99	296	875	65	173	302	0	0	0	1240	0	0	583	0	0	0	0	0	0	0
ASV_57	208	506	226	1317	0	0	0	319	0	0	83	507	102	605	0	143	0	124	168	0	0	0	21	190	71	254	0	259	254	0	0	73	0	269	388	0	0	201	662	0	0	217	209	355	150	0	124	285	0	943	2131	0	0	0	293	86	199	0	137	153	95	217	167	0	84	85	0	0	0	0	0	575	137	247	0	0	77	1252	0	0
ASV_58	0	0	0	118	0	42	0	314	116	84	154	188	0	582	54	117	0	497	199	0	122	0	0	1072	179	275	0	0	0	0	0	0	0	0	0	110	2098	0	382	0	0	745	312	141	0	316	57	473	0	0	720	0	0	0	421	90	83	0	2003	0	0	436	320	0	221	402	1556	0	0	106	0	0	0	0	0	0	0	0	0	0
ASV_59	0	0	0	0	0	0	57	302	115	113	172	294	0	504	0	116	0	519	245	0	157	0	0	724	195	292	0	0	0	0	0	0	0	0	0	98	1998	0	551	0	0	771	268	106	0	358	0	486	0	0	702	0	40	60	386	70	0	0	2172	0	0	448	340	35	208	366	1592	0	0	0	0	0	0	0	0	0	84	0	0	0
ASV_60	961	209	2011	771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	196	380	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	956	0	0	7244	0	0	0	28	0	125	0	0	0	0	0	0	0	0	0	0	0	287	24	0	119	0	0	0	0	0	195	358	0	0
ASV_61	0	0	0	0	0	61	0	82	56	1066	105	113	121	198	0	833	0	245	307	184	94	136	60	197	107	126	0	0	0	17	0	0	0	0	0	164	450	0	340	0	289	0	426	469	46	0	0	885	0	0	0	0	834	556	0	0	142	0	544	250	108	401	568	290	502	558	1157	0	0	751	0	0	387	0	0	0	0	0	0	0
ASV_62	0	0	0	0	0	0	0	88	0	1171	126	113	115	265	47	969	0	233	243	129	74	104	0	301	130	122	0	0	0	0	0	0	0	0	0	181	530	0	263	0	255	54	488	497	61	0	98	789	0	0	86	0	752	494	0	53	172	0	541	212	117	375	578	257	397	524	1119	0	0	710	0	0	373	0	0	0	0	0	0	0
ASV_63	0	0	0	0	0	172	127	0	0	2043	0	538	201	0	248	0	243	233	180	0	141	0	0	0	263	122	0	0	175	0	0	0	185	0	0	243	109	0	0	211	1996	0	0	0	0	196	0	302	0	0	0	0	118	0	98	225	91	0	0	2637	153	200	0	189	188	204	95	0	0	0	0	0	162	0	0	1324	0	0	0	181
ASV_64	1032	95	1897	929	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	231	142	373	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	841	0	0	7433	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	104	0	0	0	22	0	0	267	0	0
ASV_65	0	0	0	0	0	0	0	0	0	251	175	135	0	89	0	112	155	962	280	0	410	251	207	618	187	0	0	0	0	0	0	0	0	0	0	0	636	0	209	0	0	261	455	602	0	103	0	466	0	0	109	0	199	198	3132	109	0	0	619	160	292	331	312	180	311	230	275	0	0	352	0	0	312	0	0	0	0	0	0	0
ASV_66	557	738	422	830	0	6	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	1816	0	49	0	1293	0	298	120	0	0	0	0	0	0	0	0	0	0	0	434	0	0	1107	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	151	0	0	3052	0	0	129	0	972	913	0	0
ASV_67	0	0	0	0	0	0	0	74	0	114	157	0	0	0	0	1388	0	401	0	112	261	0	314	164	1321	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	167	346	222	97	0	0	581	211	0	0	0	607	244	0	120	0	0	332	251	2060	1184	126	137	428	457	164	0	0	423	0	0	489	0	0	0	0	0	0	0
ASV_68	0	0	0	0	0	0	0	137	0	0	181	155	0	299	75	176	0	893	250	0	361	198	108	851	181	0	0	0	0	0	0	0	0	0	0	0	589	0	213	155	0	125	598	657	0	0	0	431	0	0	0	30	196	224	3314	0	0	0	542	0	0	281	286	94	255	206	269	0	0	422	0	0	287	0	0	0	0	0	0	0
ASV_69	0	0	0	0	204	654	132	0	0	290	0	117	0	0	0	41	1594	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	1413	0	0	2034	1451	0	0	615	0	0	0	0	348	0	0	535	0	0	0	0	199	0	1060	68	616	0	0	103	0	424	168	98	0	106	0	0	0	0	0	0	0	0	0	480	0	0	0	0
ASV_70	0	265	0	0	485	220	1185	147	223	0	0	0	405	78	97	234	143	114	147	158	131	342	0	0	0	175	75	0	396	0	233	0	176	0	141	88	0	0	122	597	257	173	124	0	0	215	83	121	307	0	147	0	0	0	0	0	0	81	53	167	185	229	106	0	159	155	65	0	80	0	593	518	142	92	170	1540	0	0	323	81
ASV_71	0	0	0	0	0	184	239	0	0	2130	0	698	170	0	257	0	149	0	0	0	200	0	104	0	343	82	0	34	219	0	0	0	131	0	0	266	208	0	0	139	1652	0	154	0	0	98	0	242	0	0	0	0	73	0	0	161	97	0	111	2309	125	146	0	197	84	101	0	0	0	0	0	0	67	0	0	1110	0	0	0	197
