	reads.in	reads.out
ERR2190371_1.fastq.gz	10262	7282
ERR2190448_1.fastq.gz	10262	7282
ERR2190449_1.fastq.gz	9597	7763
ERR2190450_1.fastq.gz	10357	8760
ERR2190451_1.fastq.gz	9598	7872
ERR2190452_1.fastq.gz	21879	16267
ERR2190453_1.fastq.gz	29984	20491
ERR2190454_1.fastq.gz	23680	17809
ERR2190455_1.fastq.gz	23409	17723
ERR2190456_1.fastq.gz	10988	8382
ERR2190457_1.fastq.gz	16331	12442
ERR2190458_1.fastq.gz	11259	9216
ERR2190459_1.fastq.gz	9311	6879
ERR2190460_1.fastq.gz	24569	19164
ERR2190461_1.fastq.gz	18172	13837
ERR2190462_1.fastq.gz	20188	14772
ERR2190463_1.fastq.gz	25001	19189
ERR2190464_1.fastq.gz	24505	18779
ERR2190465_1.fastq.gz	14356	11025
ERR2190466_1.fastq.gz	16821	12568
ERR2190467_1.fastq.gz	8853	3823
ERR2190468_1.fastq.gz	14513	8023
ERR2190469_1.fastq.gz	10706	9057
ERR2190470_1.fastq.gz	14510	12295
ERR2190471_1.fastq.gz	12005	8488
ERR2190472_1.fastq.gz	8745	5077
ERR2190473_1.fastq.gz	7927	6434
ERR2190474_1.fastq.gz	11967	9246
ERR2190475_1.fastq.gz	10534	8603
ERR2190476_1.fastq.gz	5859	4809
ERR2190477_1.fastq.gz	11589	9989
ERR2190478_1.fastq.gz	15729	13432
ERR2190479_1.fastq.gz	15247	12788
ERR2190480_1.fastq.gz	21097	16198
ERR2190481_1.fastq.gz	6510	5031
ERR2190482_1.fastq.gz	16712	13195
ERR2190483_1.fastq.gz	18343	13709
ERR2190484_1.fastq.gz	21243	16556
ERR2190485_1.fastq.gz	21727	15524
