	input	filtered	denoisedF	nonchim
SRR19937996	45629	37380	36846	13662
SRR19937997	92583	74702	73026	34734
SRR19937998	76596	61814	59797	33115
SRR19937999	206263	156700	154811	97430
SRR19938000	18319	15114	14431	10427
SRR19938001	78345	65337	64397	24192
SRR19938002	122305	100812	98011	43520
SRR19938003	74210	60397	59749	21983
SRR19938004	42991	35674	34367	18421
SRR19938005	65566	45039	44397	42357
SRR19938006	66922	45450	45099	39422
SRR19938007	70079	45655	45333	44626
SRR19938008	70905	46560	46067	42780
SRR19938009	59756	37885	37528	36864
SRR19938010	116592	92125	91381	64555
SRR19938011	60188	24931	24791	24431
SRR19938012	65725	41799	41311	38484
SRR19938013	56055	30638	30499	29459
SRR19938014	33978	22523	22164	21798
SRR19938015	63903	40198	39666	39317
SRR19938016	63298	41509	41089	38968
SRR19938017	56373	33666	33468	31805
SRR19938018	65164	26213	25972	25229
SRR19938019	55116	34666	34379	32700
SRR19938022	58593	45719	45202	34065
SRR19938023	44975	36418	35899	28773
SRR19938024	51043	40515	39852	33784
SRR19938025	72548	57730	56934	37249
SRR19938026	82330	67424	65960	52505
SRR19938027	44170	28222	27940	26046
SRR19938028	283390	224663	222711	129156
SRR19938029	64564	52198	51264	32663
SRR19938030	56143	37292	37127	35402
SRR19938031	57552	46645	46228	34653
SRR19938032	47346	37685	37106	28414
SRR19938033	66885	37926	37627	33413
SRR19938034	79338	64408	63680	43778
SRR19938035	63552	44236	43657	32780
SRR19938036	48769	12194	12089	11512
SRR19938037	77501	52562	51827	40746
SRR19938038	62011	41431	40786	36793
SRR19938039	62062	37255	37010	18870
SRR19938040	145600	42392	42197	41051
SRR19938041	83134	63723	63032	41191
SRR19938042	85420	24628	24366	21542
SRR19938043	61579	16937	16751	16168
SRR19938044	74338	22807	22594	21799
SRR19938045	92844	65515	64803	47963
SRR19938046	73070	48743	48047	43470
SRR19938047	63547	20451	20196	19480
SRR19938048	72020	46182	45442	33714
SRR19938049	53535	37188	36703	33989
SRR19938050	66814	21094	20993	20070
SRR19938051	52907	14507	14275	13489
SRR19938052	60558	18833	18664	17209
SRR19938053	63098	44907	43915	37282
SRR19938054	54960	36797	36101	31526
SRR19938055	59271	41828	41339	36730
SRR19938056	64221	19084	18746	16091
SRR19938057	82879	55653	54920	47009
SRR19938058	53913	36870	36316	33017
SRR19938059	59171	13264	13069	12377
SRR19938060	74165	48800	47965	38128
SRR19938061	73772	19004	18753	16758
SRR19938062	66675	43925	43386	37142
SRR19938063	64077	16160	16090	15965
SRR19938064	43401	28995	28617	25526
SRR19938065	54422	35694	35024	28185
SRR19938066	66801	45857	45077	41755
SRR19938067	68460	55922	54838	29354
SRR19938068	68370	46002	45204	39789
SRR19938069	68665	24192	24029	23303
SRR19938070	67864	31534	31401	28642
SRR19938071	55110	38068	37378	27729
SRR19938072	65983	17671	17309	13681
SRR19938073	51356	34809	34304	31912
SRR19938074	70099	46140	45401	36524
SRR19938075	72961	19157	19046	18074
SRR19938076	69652	47495	46853	42243
SRR19938077	27539	5857	5648	5224
SRR19938078	53486	30167	29982	26583
SRR19938079	60321	43352	42694	35482
SRR19938080	76669	48983	48072	39558
SRR19938081	70434	50411	49805	28327
SRR19938082	77011	54137	53229	33862
SRR19938083	46322	32073	31475	29313
SRR19938084	51378	33983	33320	29411
SRR19938085	60598	41356	40731	33206
SRR19938086	49715	33834	33158	24681
SRR19938087	64640	43631	42957	40212
SRR19938088	69497	44566	43655	40120
SRR19938089	55499	21416	21148	20127
SRR19938090	69152	15582	15457	15065
SRR19938091	67622	10557	10427	9588
SRR19938092	98972	68729	67357	62830
SRR19938093	61357	43238	42655	35672
SRR19938094	74119	49195	48128	42989
SRR19938095	62246	40003	39322	33733
SRR19938096	56408	39881	39026	34397
SRR19938097	75715	53296	52420	43360
SRR19938098	83127	52730	52230	37315
SRR19938099	97748	64096	62835	48387
SRR19938100	84483	68180	67080	59646
SRR19938101	70604	60962	60222	52814
SRR19938102	55911	38419	37827	29998
SRR19938103	60519	14145	13945	13297
SRR19938104	68769	49075	48203	42025
SRR19938105	72510	46391	45532	37414
SRR19938106	112593	91193	90001	68292
SRR19938107	54817	47452	46740	40798
SRR19938108	84680	68581	67593	55366
SRR19938109	63667	50302	49412	42369
SRR19938110	113897	98373	96437	62409
SRR19938111	58809	46643	46198	30787
SRR19938112	17812	14501	14156	13206
SRR19938113	140841	122340	121180	94796
SRR19938114	89026	77931	77425	64413
SRR19938115	40227	31740	31114	26587
SRR19938116	48190	40378	39963	34184
SRR19938117	51779	45867	45078	39386
SRR19938118	52965	27030	26842	26205
SRR19938119	399322	320360	316312	202043
SRR19938120	52372	45443	44916	37298
SRR19938121	87770	77823	76881	51272
SRR19938122	87341	52710	52212	47527
SRR19938123	79425	70269	69336	50674
SRR19938124	76106	58008	57142	46347
SRR19938125	71013	56760	56143	45991
SRR19938126	54457	19416	19246	18549
SRR19938127	77512	26221	26134	24143
SRR19938128	77884	61584	60746	50378
SRR19938129	79380	63359	62465	51471
SRR19938130	81279	64842	63780	48780
SRR19938131	83354	19034	18700	17927
SRR19938132	113115	87559	86693	60673
SRR19938133	112699	34610	34257	30050
SRR19938134	75864	58681	57655	45104
SRR19938135	82210	65491	64914	51958
SRR19938136	144175	127308	125456	104898
SRR19938137	52821	42010	41689	36983
SRR19938138	703068	571732	566170	279212
SRR19938139	93753	71203	70374	54890
SRR19938140	47061	27829	27606	26068
SRR19938141	68734	43909	43683	40810
SRR19938142	54714	45064	44142	36261
SRR19938143	39737	32757	32309	27386
SRR19938144	35378	28454	27978	25886
SRR19938145	80083	49688	49535	46860
SRR19938146	2980	2415	2164	2141
SRR19938147	73943	41087	40922	38008
SRR19938148	34708	26581	26026	22176
SRR19938149	69507	55869	55002	37958
SRR19938150	64953	50930	50158	40375
SRR19938151	111423	89685	87190	73778
SRR19938152	84095	65888	64112	45591
SRR19938153	121080	90719	89446	58201
SRR19938154	59994	25770	25436	24196
SRR19938155	72245	57799	56694	45379
SRR19938156	73442	50204	50031	46593
SRR19938157	75782	45565	45423	36967
SRR19938158	167899	134817	134277	86872
SRR19938159	99776	79542	77686	64023
SRR19938160	66006	53187	52326	45517
SRR19938161	68724	55600	54623	48393
SRR19938162	51474	42618	41921	30920
SRR19938163	109681	79830	78720	54981
SRR19938164	105090	56403	56289	53227
SRR19938165	70459	54791	53962	42671
SRR19938166	113054	88980	88016	61840
SRR19938167	60394	49749	49205	33933
SRR19938168	75425	26331	25989	23616
SRR19938169	102563	20718	20451	19654
SRR19938170	116197	94538	92358	71458
SRR19938171	67868	56051	55129	37844
SRR19938172	63473	51209	50557	40370
SRR19938173	51578	42437	41869	32488
SRR19938174	46764	38086	37564	34390
SRR19938175	113104	80890	79406	59272
SRR19938176	63150	52453	51877	33249
SRR19938177	83365	64555	63622	39167
SRR19938178	134667	83184	82847	75099
SRR19938179	72188	58502	57415	40878
SRR19938180	66031	53412	52924	35549
SRR19938181	71913	46806	46651	41797
SRR19938182	65527	52894	52282	37369
SRR19938183	36496	27994	27452	24213
SRR19938184	58348	47559	46788	40165
SRR19938185	91411	69806	69145	53528
SRR19938186	48441	38811	37856	30958
SRR19938187	78191	62985	61873	48191
SRR19938188	73538	55602	54609	46326
SRR19938189	62540	29840	29661	28003
SRR19938190	78146	63754	62533	41873
SRR19938191	133084	106902	104974	67342
SRR19938192	72041	58136	57023	42401
SRR19938193	70416	58425	57081	47065
SRR19938194	16488	4874	4560	4342
SRR19938195	64200	42150	41892	40486
SRR19938196	84015	67346	66103	56996
SRR19938197	80826	50733	50028	42005
SRR19938198	68579	46651	45471	36806
SRR19938199	90972	32196	32062	30874
SRR19938200	63246	38723	38037	29748
SRR19938201	50893	34676	33988	31348
SRR19938202	50392	34827	34338	26110
SRR19938203	60670	17344	17118	16260
SRR19938204	67660	45544	44613	36761
SRR19938205	79600	63739	63196	52148
SRR19938206	73534	62192	61495	49876
SRR19938207	59143	40179	39412	34943
SRR19938208	109388	80848	80076	58234
SRR19938209	65255	44062	43234	35486
SRR19938210	41487	26314	25733	23615
SRR19938211	61583	41848	40868	29346
SRR19938212	65003	43785	42982	36329
SRR19938213	72476	20334	20013	18497
SRR19938214	65117	45873	45195	32376
SRR19938215	68344	47171	46496	42269
SRR19938216	63144	43803	43232	40058
SRR19938217	73965	48118	46842	41253
SRR19938218	72484	51187	50353	44097
SRR19938219	60201	43079	42685	29222
SRR19938220	116939	101307	100457	78340
SRR19938221	42526	11116	10884	10455
SRR19938222	58242	41001	40317	37945
SRR19938223	56027	37305	36574	32682
SRR19938224	61731	18739	18674	18337
SRR19938225	76629	53692	52866	40812
SRR19938226	62612	40544	39848	20535
SRR19938227	50837	34806	34194	30760
SRR19938228	61137	18720	18552	17654
SRR19938229	79315	50491	49777	40038
SRR19938230	58624	20117	19852	18603
SRR19938231	37564	28616	27987	24105
SRR19938232	64952	41146	40386	36306
SRR19938233	77611	51274	49829	38134
SRR19938234	64602	39284	38720	24648
SRR19938235	80972	54034	53096	42563
SRR19938236	59513	38179	37503	32672
SRR19938237	60013	42353	41834	35743
SRR19938238	65461	41040	40410	35390
SRR19938239	52064	35910	34806	32521
SRR19938240	83200	12822	12569	11432
SRR19938241	62421	39136	38426	33698
SRR19938242	100277	77528	76986	56433
SRR19938243	63581	17831	17563	16313
SRR19938244	62645	43079	42384	36128
SRR19938245	46893	31840	31353	30697
SRR19938246	70697	19451	19333	18193
SRR19938247	68005	46190	45372	39190
SRR19938248	63407	21907	21564	20349
SRR19938249	16131	10423	10200	9837
SRR19938250	68168	59017	58359	52779
SRR19938251	66230	44593	44291	41981
SRR19938252	96583	61434	61028	57244
SRR19938253	27555	16089	16035	14825
SRR19938254	73039	56439	55145	40334
SRR19938255	75605	59144	58418	51345
SRR19938256	62885	47955	47221	28320
SRR19938257	73190	59349	58434	41460
SRR19938258	106346	84413	83204	44875
SRR19938259	65098	53058	52168	41419
SRR19938260	66972	54353	53633	38565
SRR19938261	72297	54888	54282	47330
SRR19938262	81034	64293	62955	46678
SRR19938263	71304	58203	57570	45864
SRR19938264	53531	43064	42634	36083
SRR19938265	126114	48884	48671	44737
SRR19938266	48623	38399	37862	33460
SRR19938267	75118	60157	59231	40520
SRR19938268	75074	48458	48282	46816
SRR19938269	62062	50843	50153	42878
SRR19938270	68849	53300	52369	34053
SRR19938271	59025	39302	38925	35157
SRR19938272	14518	3600	3414	3332
SRR19938273	65646	53233	52323	43728
SRR19938274	61314	49848	48895	37529
SRR19938275	74574	61504	60654	44379
SRR19938276	75871	48461	48412	47125
SRR19938277	66446	52621	51782	42019
SRR19938278	62875	49840	49000	37005
SRR19938279	60988	40269	40185	39787
SRR19938280	80761	63927	62844	46840
SRR19938281	49086	38385	37866	31352
SRR19938282	86741	68288	67014	49328
SRR19938283	56589	50040	49407	37156
SRR19938284	41435	33908	33609	27422
SRR19938285	62844	39648	39389	37238
SRR19938286	63425	20517	20368	20252
SRR19938287	78048	52676	52008	48288
SRR19938288	45063	15787	15588	14379
SRR19938289	55210	45367	45048	33272
SRR19938290	61423	43303	42836	33084
SRR19938291	70659	49076	48546	35775
SRR19938292	65670	47348	46304	41006
SRR19938293	48062	34000	33452	29758
SRR19938294	64008	41640	41069	36310
SRR19938295	54850	37865	37395	27884
SRR19938296	74407	50159	49370	37543
SRR19938297	71505	23271	23147	21892
SRR19938298	79096	24523	24286	23734
SRR19938299	75187	25711	25555	24148
SRR19938300	62937	54266	53550	40958
SRR19938301	49317	33171	32718	28263
SRR19938302	62577	39344	38878	30097
SRR19938303	110338	81591	80646	63573
SRR19938304	53880	37770	37124	31492
SRR19938305	48623	34067	33473	29593
SRR19938306	124680	94063	92536	61655
SRR19938307	60353	40519	39826	36311
SRR19938308	72653	26446	26013	24400
SRR19938309	78290	54245	53461	43538
SRR19938310	162733	126936	124752	81053
SRR19938311	51137	44128	43630	38645
SRR19938312	58383	40040	39349	31893
SRR19938313	66354	45839	45302	39904
SRR19938314	69074	44939	44254	35293
SRR19938315	61521	40934	39973	37745
SRR19938316	71029	49639	48989	34779
SRR19938317	64364	44156	43405	35162
SRR19938318	54079	37838	37109	32843
SRR19938319	111171	87948	87085	58772
SRR19938320	45645	10845	10638	10365
SRR19938321	57103	39240	38527	31181
SRR19938322	90941	80149	79035	64670
SRR19938323	57237	36898	36406	34207
SRR19938324	137753	100099	98549	59779
SRR19938325	65498	46016	45452	40718
SRR19938326	63696	44238	43501	37442
SRR19938327	41837	27065	26529	25015
SRR19938328	71813	23271	23162	22905
SRR19938329	90144	73337	71675	35212
SRR19938330	54652	43369	41969	20287
SRR19938331	93791	68380	67600	46302
SRR19938332	82853	68355	66660	32716
SRR19938333	103189	89249	87422	78768
SRR19938334	75332	63421	61705	33005
SRR19938335	80678	67241	65770	31561
SRR19938336	95030	72885	72069	50186
SRR19938337	72132	48387	48218	46529
SRR19938338	55882	45130	43204	26281
SRR19938339	75755	62471	60749	29106
SRR19938340	117277	98244	92547	44429
SRR19938341	124431	99812	96542	37892
SRR19938342	59125	48732	47585	24495
SRR19938343	46086	32839	32503	30574
SRR19938344	60396	52828	52094	44203
SRR19938345	72915	60188	58724	27066
SRR19938346	125878	102689	100681	40159
SRR19938347	75942	50008	49920	45474
SRR19938348	56409	47916	46292	25696
SRR19938349	57370	46962	45242	25436
SRR19938350	60605	50036	48826	26134
SRR19938351	90541	73922	72530	25524
SRR19938352	65838	53271	51452	27157
SRR19938353	63568	52109	50920	22511
SRR19938354	69597	56899	55182	25350
SRR19938355	65602	52245	51702	45384
SRR19938356	57666	30904	30757	28175
SRR19938357	57945	33461	33077	30626
SRR19938358	84467	69738	67569	35128
SRR19938359	135353	109132	107638	46179
SRR19938360	78826	39962	39725	36593
SRR19938361	59728	51292	49686	28223
SRR19938362	37796	30629	29394	17101
SRR19938363	65449	53262	51175	24698
SRR19938364	135548	110275	107282	57377
SRR19938365	109804	88619	86974	33059
SRR19938366	106765	88234	86041	42730
SRR19938367	97840	71717	71047	56915
SRR19938368	8629	2891	2604	2525
SRR19938369	53798	44377	43007	21469
SRR19938370	48662	30749	30360	27406
SRR19938371	102129	80619	79348	58297
SRR19938372	65622	45376	45284	43154
SRR19938373	91376	63467	63308	54370
SRR19938374	52037	41481	40141	23936
SRR19938375	115450	61928	61675	54669
SRR19938376	78500	65790	63975	34141
SRR19938377	19839	15989	15692	12772
SRR19938378	82660	66247	65348	42945
SRR19938379	34290	20228	19936	18959
SRR19938380	59638	27473	27286	26332
SRR19938381	88938	46244	45894	41995
SRR19938382	68381	47127	46840	42146
SRR19938383	71594	58175	57198	42405
SRR19938384	64394	51176	50413	42503
SRR19938385	52908	42301	41756	34850
SRR19938386	69332	54018	53353	36623
SRR19938387	61099	50487	49500	40949
SRR19938388	62628	51603	50651	40635
SRR19938389	54787	34816	34508	32676
SRR19938390	21898	7443	7246	6846
SRR19938391	105485	79719	78831	57470
SRR19938392	89752	72209	70863	53803
SRR19938393	65028	43446	43092	38500
SRR19938394	57684	46502	45977	33402
SRR19938395	45063	38812	38564	35076
SRR19938396	79229	62805	61858	42251
SRR19938397	103811	81718	80621	63748
SRR19938398	49947	40152	39411	35541
SRR19938399	74466	42009	41798	38245
SRR19938400	62849	51020	50300	46157
SRR19938401	62218	50192	49738	41575
SRR19938402	69990	56224	55499	46866
SRR19938403	50834	31480	31261	29674
SRR19938404	77033	43458	43362	42196
SRR19938405	71205	44151	43997	43616
SRR19938406	1793	1409	1303	1229
SRR19938407	140097	105209	103593	59758
SRR19938408	83081	66240	65424	49998
SRR19938409	61196	48420	47747	43074
SRR19938410	52108	42153	41419	37011
SRR19938411	75016	58646	57992	39260
SRR19938412	79835	64584	63560	38490
SRR19938413	49735	32975	32724	30066
SRR19938414	62031	36225	36156	35613
SRR19938415	66209	52590	51751	35583
SRR19938416	88097	71263	70045	57911
SRR19938417	101665	79024	77922	54845
SRR19938418	63697	44364	43254	37214
SRR19938419	65202	44924	44390	33020
SRR19938420	57481	39983	39536	29285
SRR19938421	51744	45452	45134	42474
SRR19938422	59600	41952	41221	37171
SRR19938423	59035	9930	9828	9658
SRR19938424	64191	18965	18717	17561
SRR19938425	65107	15532	15352	14485
SRR19938426	67954	42847	42088	31709
SRR19938427	55001	33931	33520	22946
SRR19938428	64527	44773	44092	37118
SRR19938429	74792	51127	50289	44844
SRR19938430	57141	37175	36839	22853
SRR19938431	34584	21288	20760	17630
SRR19938432	76438	66575	65553	55011
SRR19938433	62981	40934	40301	37978
SRR19938434	87289	67203	66585	43356
SRR19938435	49135	32573	31838	28470
SRR19938436	60794	19596	19222	18069
SRR19938437	86495	57323	56374	48529
SRR19938438	60092	23770	23612	21640
SRR19938439	89970	34584	34332	32071
SRR19938440	65880	46065	45111	39298
SRR19938441	68719	22876	22760	22382
SRR19938442	74448	47436	46632	37068
SRR19938443	52078	40767	40155	34781
SRR19938444	72605	46791	45991	29379
SRR19938445	59677	40046	39184	37335
SRR19938446	76580	20946	20825	20374
SRR19938447	75868	45876	45216	32334
SRR19938448	71503	47700	46640	41419
SRR19938449	61304	42609	41992	33166
SRR19938450	70909	49741	49099	42627
SRR19938451	51065	16051	15951	15470
SRR19938452	62642	42297	41714	40065
SRR19938453	74502	44013	43243	26175
SRR19938454	79935	63962	62760	56983
SRR19938455	81358	66151	65302	55368
SRR19938456	43491	35653	35085	31030
SRR19938457	69590	57779	56736	50256
SRR19938458	73777	59793	59224	40617
SRR19938459	72261	58142	57456	47551
SRR19938460	66168	52571	52115	29783
SRR19938461	75139	60531	59517	41466
SRR19938462	15713	5505	5363	5363
SRR19938463	59344	47426	46972	31294
SRR19938464	62100	40865	40703	39223
SRR19938465	63638	40526	40388	38259
SRR19938466	80189	64978	63522	47183
SRR19938467	61526	50112	49403	35627
SRR19938468	64586	52696	51917	38057
SRR19938469	66071	51683	51063	39176
SRR19938470	74752	61802	60292	53770
SRR19938471	78224	61594	60226	46113
SRR19938472	71703	59007	57887	47115
SRR19938473	17363	5024	4931	4924
SRR19938474	125438	102640	99157	86400
SRR19938475	66381	53533	52659	33984
SRR19938476	58474	47152	46395	32046
SRR19938477	66894	43266	43028	42402
