	input	filtered	denoisedF	nonchim
SRR19937432	75017	61410	60461	45914
SRR19937433	78440	62284	61375	50186
SRR19937434	272802	225795	223385	150827
SRR19937435	120970	97202	95064	81210
SRR19937436	93279	70139	69219	52403
SRR19937437	119359	95216	94280	82093
SRR19937438	105774	86130	85171	68551
SRR19937439	97466	53599	53325	49564
SRR19937440	123706	60136	59804	57134
SRR19937441	75476	19851	19567	18776
SRR19937442	123813	102483	100902	76193
SRR19937443	86948	65564	64399	49854
SRR19937444	88481	50347	50155	47337
SRR19937445	94712	76851	76132	57696
SRR19937446	9279	7619	7474	7474
SRR19937447	97920	46036	45777	42935
SRR19937448	64853	52481	52031	39990
SRR19937449	124104	93763	92602	55498
SRR19937450	102121	78178	77270	56980
SRR19937451	3328	2719	2598	2598
SRR19937452	45600	39928	39478	35753
SRR19937453	95422	77124	76390	67237
SRR19937454	61775	54295	53551	44374
SRR19937455	60489	52666	52119	49802
SRR19937456	16994	12889	12419	11656
SRR19937457	57424	49042	48459	40213
SRR19937458	49216	43073	42767	40134
SRR19937459	44299	37023	36509	35248
SRR19937460	101330	83217	82534	52180
SRR19937461	60698	53217	52536	39006
SRR19937462	41748	36405	35954	33944
SRR19937463	93043	75340	74463	50102
SRR19937464	39123	34329	33950	30223
SRR19937465	65356	56355	55828	45537
SRR19937466	36244	8447	8367	8048
SRR19937467	55704	47439	46861	37453
SRR19937468	62938	55124	54419	46785
SRR19937469	53031	46020	45521	45010
SRR19937470	84069	73143	72358	62706
SRR19937471	119136	99769	98264	78636
SRR19937472	167873	130834	129188	89423
SRR19937473	38956	30402	29953	25369
SRR19937474	56908	49304	48491	45332
SRR19937475	16867	12913	12687	12667
SRR19937476	101313	28351	27931	27086
SRR19937477	93925	69888	69207	53843
SRR19937478	117463	37646	37425	36564
SRR19937479	64999	56636	56088	51099
SRR19937480	52124	45782	44969	34761
SRR19937481	49569	43220	42649	32665
SRR19937482	66792	57995	57405	43614
SRR19937483	76398	65828	65075	53547
SRR19937484	50111	35824	35283	29368
SRR19937485	68321	59611	59151	48969
SRR19937486	51948	45447	44988	40388
SRR19937487	86073	74381	73246	61229
SRR19937488	80035	47904	47499	41584
SRR19937489	47469	14907	14649	14313
SRR19937490	88383	32583	32412	26609
SRR19937491	73910	57350	56801	45478
SRR19937492	83913	72665	71814	56431
SRR19937493	90710	75142	74311	61040
SRR19937494	34632	29079	28817	20202
SRR19937495	60959	52256	51783	35325
SRR19937496	4477	1529	1469	1379
SRR19937497	18814	14730	14213	13158
SRR19937498	125862	33565	32952	31406
SRR19937499	77866	64488	64010	43780
SRR19937500	22768	6808	6610	6610
SRR19937501	55124	47396	46748	41127
SRR19937502	80413	62373	61356	52168
SRR19937503	10672	8755	8473	7461
SRR19937504	76485	20779	20657	20307
SRR19937505	67076	57451	55637	28605
SRR19937506	87737	45145	45001	43424
SRR19937507	51898	42401	41532	19713
SRR19937508	77226	63753	62349	28686
SRR19937509	71141	58597	57459	22936
SRR19937510	82730	69096	67960	26816
SRR19937511	49988	41689	41013	16254
SRR19937512	115573	35102	34790	32906
SRR19937513	87294	71388	68904	38231
SRR19937514	88037	52409	52141	47495
SRR19937515	83031	64010	62453	22323
SRR19937516	130036	109163	104134	50891
SRR19937517	111812	89805	87887	31647
SRR19937518	72509	59989	58272	36459
SRR19937519	74243	62054	60481	28790
SRR19937520	71927	50457	50249	43775
SRR19937521	70339	59199	57607	25266
SRR19937522	80907	45719	45439	43382
SRR19937523	62007	46307	45623	36099
SRR19937524	77575	63327	61841	30106
SRR19937525	80342	62789	61594	24147
SRR19937526	107726	89761	87441	43199
SRR19937527	105064	88888	86630	39938
SRR19937528	72616	60652	59710	24922
SRR19937529	62802	52696	51156	26700
SRR19937530	38452	22858	22519	21327
SRR19937531	101838	81393	79668	38288
SRR19937532	84421	70115	67840	36132
SRR19937533	86062	68894	67389	29826
SRR19937534	73460	58793	58069	43875
SRR19937535	82063	55595	55386	49009
SRR19937536	73517	61455	59287	35719
SRR19937537	103572	82622	80321	40246
SRR19937538	87821	72012	70086	33736
