	reads.in	reads.out
SRR19937424.fastq.gz	10409	8034
SRR19937425.fastq.gz	73078	58106
SRR19937426.fastq.gz	101282	82993
SRR19937427.fastq.gz	127175	30233
SRR19937428.fastq.gz	166252	134747
SRR19937429.fastq.gz	7626	5722
SRR19937430.fastq.gz	98807	79650
SRR19937431.fastq.gz	72605	58526
SRR19937432.fastq.gz	75017	61410
SRR19937433.fastq.gz	78440	62284
SRR19937434.fastq.gz	272802	225795
SRR19937435.fastq.gz	120970	97202
SRR19937436.fastq.gz	93279	70139
SRR19937437.fastq.gz	119359	95216
SRR19937438.fastq.gz	105774	86130
SRR19937439.fastq.gz	97466	53599
SRR19937440.fastq.gz	123706	60136
SRR19937441.fastq.gz	75476	19851
SRR19937442.fastq.gz	123813	102483
SRR19937443.fastq.gz	86948	65564
SRR19937444.fastq.gz	88481	50347
SRR19937445.fastq.gz	94712	76851
SRR19937446.fastq.gz	9279	7619
SRR19937447.fastq.gz	97920	46036
SRR19937448.fastq.gz	64853	52481
SRR19937449.fastq.gz	124104	93763
SRR19937450.fastq.gz	102121	78178
SRR19937451.fastq.gz	3328	2719
SRR19937452.fastq.gz	45600	39928
SRR19937453.fastq.gz	95422	77124
SRR19937454.fastq.gz	61775	54295
SRR19937455.fastq.gz	60489	52666
SRR19937456.fastq.gz	16994	12889
SRR19937457.fastq.gz	57424	49042
SRR19937458.fastq.gz	49216	43073
SRR19937459.fastq.gz	44299	37023
SRR19937460.fastq.gz	101330	83217
SRR19937461.fastq.gz	60698	53217
SRR19937462.fastq.gz	41748	36405
SRR19937463.fastq.gz	93043	75340
SRR19937464.fastq.gz	39123	34329
SRR19937465.fastq.gz	65356	56355
SRR19937466.fastq.gz	36244	8447
SRR19937467.fastq.gz	55704	47439
SRR19937468.fastq.gz	62938	55124
SRR19937469.fastq.gz	53031	46020
SRR19937470.fastq.gz	84069	73143
SRR19937471.fastq.gz	119136	99769
SRR19937472.fastq.gz	167873	130834
SRR19937473.fastq.gz	38956	30402
SRR19937474.fastq.gz	56908	49304
SRR19937475.fastq.gz	16867	12913
SRR19937476.fastq.gz	101313	28351
SRR19937477.fastq.gz	93925	69888
SRR19937478.fastq.gz	117463	37646
SRR19937479.fastq.gz	64999	56636
SRR19937480.fastq.gz	52124	45782
SRR19937481.fastq.gz	49569	43220
SRR19937482.fastq.gz	66792	57995
SRR19937483.fastq.gz	76398	65828
SRR19937484.fastq.gz	50111	35824
SRR19937485.fastq.gz	68321	59611
SRR19937486.fastq.gz	51948	45447
SRR19937487.fastq.gz	86073	74381
SRR19937488.fastq.gz	80035	47904
SRR19937489.fastq.gz	47469	14907
SRR19937490.fastq.gz	88383	32583
SRR19937491.fastq.gz	73910	57350
SRR19937492.fastq.gz	83913	72665
SRR19937493.fastq.gz	90710	75142
SRR19937494.fastq.gz	34632	29079
SRR19937495.fastq.gz	60959	52256
SRR19937496.fastq.gz	4477	1529
SRR19937497.fastq.gz	18814	14730
