ASV_ID	ERR3610705	ERR3610706	ERR3610707	ERR3610708	ERR3610709	ERR3610710	ERR3610711	ERR3610712	ERR3610713	ERR3610714	ERR3610715	ERR3610716	ERR3610717	ERR3610718	ERR3610719	ERR3610720	ERR3610721	ERR3610722	ERR3610723	ERR3610724	ERR3610725	ERR3610726	ERR3610727	ERR3610728	ERR3610729	ERR3610730	ERR3610731	ERR3610732	ERR3610733	ERR3610734	ERR3610735	ERR3610736	ERR3610737	ERR3610738	ERR3610739	ERR3610740	ERR3610741	ERR3610742	ERR3610743	ERR3610744	ERR3610745	ERR3610746	ERR3610747	ERR3610748	ERR3610749	ERR3610750	ERR3610751	ERR3610752	ERR3610753	ERR3610754
ASV_57	637	0	93	0	336	0	127	573	0	0	0	61	105	0	102	0	1211	0	63	1007	307	0	228	0	363	683	360	0	0	0	0	72	968	0	510	702	0	124	0	0	248	36	0	0	328	461	0	240	510	79
ASV_58	0	0	0	147	0	802	0	0	0	0	346	847	301	103	0	156	337	0	0	0	0	0	37	100	284	2794	0	115	0	0	0	0	0	1707	1685	0	0	101	0	0	69	0	107	0	0	0	71	0	58	0
ASV_59	419	966	328	0	154	53	240	128	201	71	131	0	23	0	609	0	213	190	511	729	166	156	263	0	50	757	384	140	0	42	1562	555	0	81	0	0	61	156	0	0	54	181	0	119	54	0	0	105	44	233
ASV_60	90	0	0	178	72	925	105	296	73	109	0	277	0	0	106	291	0	2188	0	616	48	135	0	113	111	0	0	0	0	1304	307	177	289	89	541	546	93	104	276	0	97	82	0	205	15	0	0	0	0	88
ASV_61	690	0	0	0	49	0	0	0	0	0	0	0	172	65	2661	486	0	0	0	120	0	133	0	1540	0	0	0	351	0	0	1284	0	0	1048	0	0	355	685	0	0	0	0	74	0	18	0	0	0	0	0
ASV_62	429	1016	330	0	162	49	191	127	217	63	120	0	31	0	591	0	229	159	421	718	146	142	265	0	0	770	310	134	0	0	1451	530	0	78	0	0	56	126	0	0	48	190	0	158	38	0	0	111	48	226
ASV_63	577	0	0	0	0	0	0	1901	346	0	0	0	765	0	0	563	0	0	0	0	1314	0	0	0	0	0	3231	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	299	0
ASV_64	327	0	288	0	0	0	1013	0	0	0	0	0	0	98	69	0	0	0	156	0	2	555	0	0	29	0	0	779	0	311	0	185	31	9	1983	336	599	117	0	1115	67	0	53	0	403	0	0	0	0	782
ASV_65	0	0	0	0	237	0	0	0	658	0	1521	703	481	295	44	0	382	952	0	0	409	42	0	157	321	0	0	144	95	0	494	119	0	0	0	0	0	0	0	0	267	118	0	0	141	0	1298	0	0	364
ASV_66	0	0	195	382	0	0	354	107	920	0	423	141	604	68	0	299	605	153	391	1168	102	0	345	268	0	0	215	214	0	0	248	0	117	314	465	143	294	0	106	124	0	42	0	0	0	0	0	105	123	0
ASV_67	94	209	235	482	151	0	171	844	365	85	90	123	53	369	130	36	107	64	42	397	211	386	82	82	66	266	1272	19	0	58	143	22	59	48	95	0	189	563	142	0	307	123	65	0	285	42	0	0	40	125
ASV_68	546	0	0	0	0	0	0	1759	271	0	0	0	676	0	0	523	0	0	0	0	1229	0	0	0	0	0	2961	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	307	0
ASV_69	0	0	2360	0	1727	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	472	0	0	0	103	0	0	1679	0	0	1789	0	0	0	0	0	0	0	0	0	0	55	0	0
ASV_70	66	1428	136	0	141	151	315	0	725	0	0	0	45	860	0	154	0	122	0	0	320	209	0	88	25	0	0	201	1030	0	173	546	219	379	0	0	0	27	120	31	34	0	0	402	306	0	30	0	90	54
ASV_71	0	0	0	362	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	112	0	470	0	0	0	2737	412	0	896	0	374	0	0	0	674	0	321	529	885	0	0	269	0	0	0	0
ASV_72	38	0	0	129	93	30	42	32	157	26	64	171	265	137	44	127	0	249	157	140	58	75	213	62	157	84	146	0	31	4078	107	0	158	62	38	113	123	69	0	0	0	56	34	138	55	158	228	0	96	97
