#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SRR26276055	SRR26276056	SRR26276057	SRR26276058	SRR26276059	SRR26276060	SRR26276061	SRR26276062	SRR26276063	SRR26276064	SRR26276065	SRR26276066	SRR26276067	SRR26276068	SRR26276069	SRR26276071	SRR26276072	SRR26276073	SRR26276074	SRR26276075	SRR26276076	SRR26276077	SRR26276078	SRR26276079	SRR26276080	SRR26276081	SRR26276082	SRR26276083	SRR26276084	SRR26276085	SRR26276087	SRR26276088	SRR26276089	SRR26276090	SRR26276091	SRR26276092	SRR26276093	SRR26276094	SRR26276095	SRR26276096	SRR26276097	SRR26276098	SRR26276099	SRR26276100	SRR26276101	SRR26276103	SRR26276104	SRR26276105	SRR26276106	SRR26276107	SRR26276108	SRR26276109	SRR26276110	SRR26276111	SRR26276112	SRR26276113	SRR26276114	SRR26276115	SRR26276116	SRR26276117	SRR26276070	SRR26276086	SRR26276102	SRR26276118	SRR26276134	SRR26276119	SRR26276120	SRR26276121	SRR26276122	SRR26276123	SRR26276124	SRR26276125	SRR26276126	SRR26276127	SRR26276128	SRR26276129	SRR26276130	SRR26276131	SRR26276132	SRR26276133	SRR26276135	SRR26276136	SRR26276137	SRR26276138	SRR26276139	SRR26276140	SRR26276141	SRR26276142	SRR26276143	SRR26276144	SRR26276145	SRR26276146	SRR26276147	SRR26276148	SRR26276149
UNCLASSIFIED	45.26636	27.77771	29.79631	24.1633	26.75702	12.22988	0.0	9.76617	34.87451	34.82213	5.47004	6.44217	38.92209	15.89952	10.19768	21.02205	15.69826	19.8188	18.52089	27.45934	24.02052	15.21808	6.53759	29.3867	32.77476	10.15795	10.67508	39.22321	27.66174	29.58628	21.15809	35.46363	37.68499	19.73128	32.44406	25.69224	4.30266	20.94962	13.81518	26.51101	8.09361	22.21847	7.17247	29.75523	26.66223	18.76985	27.83448	6.6057	24.19478	29.17363	11.75356	30.31261	41.52567	32.00462	25.7326	28.39036	0.0	5.20935	14.60721	25.99697	41.69473	0.0	8.73114	16.95136	2.3347	35.73273	30.21578	17.23819	11.31027	24.88845	37.91083	31.48811	39.42057	29.68325	32.25291	28.32131	27.50321	32.97965	29.89447	29.06571	30.76764	7.22407	12.07695	13.38932	39.37082	33.80122	7.3167	13.72464	24.90168	13.19797	11.78307	18.64382	3.2979	34.30563	6.15531
k__Bacteria	54.67002711232622	72.22228985623686	70.20368976848542	75.83669950360758	73.24298455625502	87.77011930626976	100.0	90.23383433602474	64.99491693899544	65.17787063239292	94.52995606264676	93.5534845132699	60.596327886389645	83.79372588320975	89.80231725348756	78.97794634169398	84.30174328495998	80.18119738099007	81.47910883583106	72.54065925242367	75.97947733252207	84.78191541738106	93.46241459915854	70.27554492626912	67.22523796093009	89.50390103634606	89.32492383788086	60.77678947880075	72.33826226994509	70.41371648004312	78.84191224792626	64.53636649030481	62.315012588658206	80.26871892634725	67.55593579643137	74.30776401513693	95.65835966989346	79.05037504030564	86.18481542517202	73.18647986156593	91.90638710734514	76.79160387053457	91.65334802595612	69.54632670345762	72.86037520078602	81.23015197738691	72.16551934301664	93.29483483902574	75.77853953928657	70.82637275242288	88.2464414960795	69.68738541406343	58.47432964424036	67.99537669972318	74.18242388908044	70.10944897098359	100.0	94.79064785295398	85.39279128605037	74.00302668599198	58.25798684294145	99.97524	90.87567666668916	83.0486404899061	97.66530185331212	64.26726774797909	69.78422244578127	82.76180613416788	88.68972984209466	75.11154829280125	62.08510940344373	68.51188955527812	60.57943413302775	70.31675443099161	67.6948807249053	69.72314524391096	72.49678884939739	67.02035452286414	70.10552772964705	70.93428925572475	69.23235525338907	92.77592863269942	87.92305258234047	86.61067866289409	60.629177748560615	66.19878207068895	92.6832993774949	86.27536074564036	75.09831916789284	86.80203238317836	88.21693135531116	80.71637629134338	96.39331115933877	65.69437202369637	93.59604258907596
k__Archaea	0.0636114347193763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1305766145749085	0.0	0.0	0.0043504393252956	0.4815809881027099	0.3067565095275091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3377575483968221	0.0	0.3381475022897173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3025100781880031	0.0	0.9899255246120308	1.1741847447701943	0.6984437526450286	0.4773995787045719	0.0	0.0	0.099464929253217	0.0266834384881767	0.0	0.0	0.0	0.0	0.0	0.0849767598224747	1.500193363040879	0.0	0.0	0.0	0.0	0.0472855759317061	0.0	0.3931862614946157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040606317202997	0.0	0.0	0.0	0.0522126848909299	1.9555452005755247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6398012514318934	0.3087891466972342	0.0	0.2486508998683066
k__Bacteria|p__Firmicutes	40.34500787106093	59.0907175589121	47.68307620912889	50.784607014167136	64.11372261071745	58.2785517342655	56.82961	65.63563090346929	52.54670636272826	63.40584075678768	75.65364725632108	70.03071521609715	28.83341490983485	58.59267993229645	19.891455737904074	38.646096834104526	72.7413187756785	54.64267618505118	65.13432627216538	38.49555787317548	63.46179006045946	59.06209203774496	62.60910698872316	52.19034834966757	37.797201812866646	62.9489723026116	68.27588963265674	43.42812785422445	40.09816938251216	46.92850287776468	66.05160169710825	13.606305405337348	54.52255765345405	52.72319161978079	36.61612787289536	62.31157060796803	69.03870986895362	51.25751217205981	41.70679719803243	20.27692777729803	28.094743996541094	55.86815467495784	65.85237158173678	55.07720351775391	53.327746275343536	53.64681302439524	46.83681484814111	64.0554611362217	50.25197213949598	43.04837559848176	71.13143245225746	47.247538592821485	43.22324795171741	54.529232321226495	50.187785310870034	38.05553370846333	41.14736	77.93583744663717	13.306075523774942	54.42613280103164	45.6278929010379	57.42506	72.74641306385902	45.5349051914916	66.40859631347996	29.07389496341536	59.2064486406279	62.62656217707698	25.81717238427648	43.77462727614827	52.19010118003072	58.22501432065491	44.1528298744408	56.267628624214666	59.95143537113098	63.015080662925605	34.93410013964797	41.45105715893182	32.07097246445122	64.22769338317944	55.01731883628431	74.37925985782137	73.71234853183556	59.82730498706299	44.85489048406223	58.87969908763302	55.36994841776911	53.65575979986736	58.41647419684364	65.60680759808949	50.03637881393843	55.99647259294395	57.385530905999694	56.934986652168014	58.84590627381147
k__Bacteria|p__Actinomycetota	13.441580001568989	0.7040228815185968	0.2762725803459206	3.5870986375304894	5.084864905624182	22.78962557902804	16.9462	1.1525477425906103	3.648076159446152	0.6095043394317592	10.768417756858833	2.362831189078277	16.244292859841764	3.449271954711008	0.0923706635269372	39.164816087882144	8.668368904147654	19.64404056107409	2.283745349915974	16.792393685948003	1.0412531491558157	4.508498785299323	14.649784868828023	7.478690171743106	29.22930489960333	17.430022247654527	5.3704020034734565	5.085595102501819	15.841486263367363	8.033430499491638	5.406946805197884	30.39516364141424	2.013821798825149	1.935286840186125	29.94835700978759	6.209825530980977	3.765948601446785	0.2910792909734134	38.00696925664522	0.473967240616443	61.81331334529033	5.082672929090553	9.831048382136204	10.716570278691202	17.15696171812306	6.791133133856665	1.972781585728112	16.682939712737877	20.98523568216036	2.342263560109001	5.16219621141691	1.6389915550304404	10.073290903751785	1.8202906305529492	23.994631151470344	31.906041351100505	57.03744	0.8233705253803288	68.06247800157077	16.98159293847728	0.9824321792035288	1.46289	6.624157168033186	36.728593451222935	26.557900902776904	1.448217891613285	6.243740929091186	17.23063560900615	62.22190299277762	19.697627982045663	9.685153037611158	8.229079524696699	6.894078937037063	8.245321529551745	5.100780283463672	1.683338205743543	31.57087985909892	14.137333901372031	31.442195986244016	2.052724836197865	3.6723264358831433	4.889022388750225	3.064865728441516	1.467903765182328	11.53899967536603	2.4530355888986213	1.120151819616528	0.332444847561176	0.1474630595180744	15.324508208104412	12.014052160644574	8.551559347582721	7.74464879867972	3.146267712144879	1.1231426761450336
k__Bacteria|p__Verrucomicrobiota	0.8403967063429022	0.0	0.0117801791431518	0.0191335992847601	0.0001245130737456	0.0124370259056984	0.0	0.0	0.0085509773035837	0.0	0.0	1.9740048270152917	0.0	0.2257677449833031	2.9600819417729074	0.0	0.0	0.0	0.0880626208297662	0.0	0.3999179789397299	0.0	0.0	6.3380946808605705	0.0	4.304251687642355	2.477712602399907	0.0	0.0	0.0	0.782892304430683	0.0	0.0	0.0	0.0	0.0	3.2072771166341503	0.0	0.0	18.922555088304343	0.0	9.811198776692065	6.262516670844281	0.0	0.0096659187159368	0.0325245528517457	0.9339012023699128	6.917034005448114	3.374408856677261	0.4281170927392954	0.0	0.0025435895676133	0.0305411423731867	0.2256630561910413	0.0	0.1141099650592679	0.0	0.0	0.675337429164858	0.0	0.2005992897571331	0.0	0.6009050666328691	0.2236167693831211	2.470619607922866	0.0	0.0	0.0	0.0397862128071636	0.0	0.0	0.0282543032525966	2.642923204695254	0.0368459793218396	0.0	0.9240243342579644	0.0	0.5864750163232272	1.924733242711914	0.274196495118004	0.0	0.0	0.2063993659370442	3.3752960971037798	0.8271274945169632	0.0	0.2666776572988661	0.0015960941737943	0.0697212795154717	1.2909719068220584	0.3322073200978307	1.8807188918740905	9.170617969792527	0.0291223151181046	0.1687609123011684
k__Archaea|p__Methanobacteriota	0.0636114347193763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1305766145749085	0.0	0.0	0.0043504393252956	0.4815809881027099	0.3067565095275091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3377575483968221	0.0	0.3381475022897173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3025100781880031	0.0	0.9899255246120308	1.1741847447701943	0.6984437526450286	0.4773995787045719	0.0	0.0	0.099464929253217	0.0266834384881767	0.0	0.0	0.0	0.0	0.0	0.0849767598224747	1.500193363040879	0.0	0.0	0.0	0.0	0.0472855759317061	0.0	0.3931862614946157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040606317202997	0.0	0.0	0.0	0.0522126848909299	1.9555452005755247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6398012514318934	0.3087891466972342	0.0	0.2486508998683066
k__Bacteria|p__Thermodesulfobacteriota	0.0330426975908514	0.0055177829450164	0.010888592283092	0.3177026852304632	0.1406924490341102	1.5625889880333816	0.0	0.0	0.1019083723126269	0.0	0.0758508367446677	0.4474216340937959	0.0679430658319853	0.3695711598266445	0.0348612595578038	0.0499219598825847	0.287511095473356	0.341595955202232	0.0	0.0295458105135121	0.0	0.425732388268379	0.7861217154349824	0.0671673733139022	0.0	0.1365599137787263	0.1233845172972648	0.0142764678485702	0.0047309223524544	0.0194060202618998	0.0155633934777406	0.0119263205274083	0.0080199421201603	0.0	0.0007904044488182	0.0	0.0657153614520352	0.0191697159472741	0.1488497947208145	0.1795189046248309	0.0202194051636159	0.4039972636783914	0.5819729339527917	0.0023953466725531	0.0498550192950977	0.0296408824565484	0.107389509334343	0.7431291038262188	0.014372670276586	0.0072526205698481	0.0096012128347734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0068896817844658	0.0140340790712227	0.1546	0.7726639397774182	0.0	0.0112998754244282	0.0105076982767945	0.3428429064538787	0.0120004618894543	0.003006581841647	0.0640401060744423	0.0100149831266719	0.0662509971999539	0.0811158623041241	0.2185796311487374	0.1556963700743937	0.1811822258365285	0.0083153816810258	0.1474983962339194	0.0231137924924646	0.0078240521049064	0.005393200474239	0.1511041549640775	0.8891746230704675	0.3878686022560386	0.0036134989938142	0.0187938342298685	0.2786894128981894	0.168763233154547	0.0192326795388973	0.0822709662927764	0.1735491690553036	0.0216976925506581	0.3621493656461048	0.1080738114161829	0.2461170931441051
k__Bacteria|p__Bacteroidota	0.0099943623986905	12.291634288525705	21.91436959636077	20.704465510938014	3.845578958335436	5.022785509492177	26.22419	23.44565568996485	8.675497247258214	1.1625255361734863	7.9907211689272	17.63751368947975	14.927703563934092	20.374981819047257	66.42847133620083	1.1137864882837394	1.6684326617013	4.916037501344311	13.923068638757975	15.807059403190484	11.076516143967066	19.551260777698285	14.983529805120162	4.200728873575897	0.1987312484601015	4.557687122364993	12.82559413436875	12.183552248399366	16.36381191991373	15.334185154893488	6.58092653114318	20.46998676613728	5.580109969274059	25.19650338154636	0.9906605092996086	5.623968257932835	18.10971624217624	26.78952388808425	4.249350943019649	33.25450283763805	1.6968860064403348	5.595424327169238	9.063606037707505	3.686466626967404	2.3157795804344965	20.706930405589144	22.28681238973642	4.448221067083497	1.1161788446916487	20.18616075443257	7.738515772318352	20.76770497697004	5.000104843281206	10.860792727644062	0.0	0.0337639463604925	1.8152	13.67302960422542	3.348900331539809	2.5792422896922163	10.737831308712469	40.27283	8.70312496224282	0.5615250778084511	1.8769024714263964	33.63247509240791	3.979654637638014	2.864593014818886	0.5966335505937392	11.38816508404516	0.1998464115921824	1.9632904094739607	6.064158863244823	5.492708892271591	2.244766066586893	3.5076612277223465	5.750249550204307	10.279481446185116	4.562327533589971	4.361153598304767	10.50085902247094	12.3848720978149	9.863322338655312	21.01745828734199	3.401727338856265	4.802245007997573	34.47080050946772	31.904913112428265	16.400098607027026	4.461121012707545	25.571953550165908	13.919423670619524	21.06794506191435	5.165587888846461	31.239687865923536
k__Bacteria|p__Firmicutes|c__Clostridia	25.62043854176607	34.818134828364244	43.9504443093042	42.66650825873451	60.081396014658935	53.02047208893708	55.30951	65.46622590288683	42.95048442525773	59.36393939411283	56.97750563195805	48.57735167024085	15.678057890039003	34.13897609806975	18.27577734703796	30.104876768883987	58.85287633505985	36.70077019069917	46.97810016086153	35.2120266943123	39.53481932755653	46.78911283107413	44.95546815340256	37.443988799296655	31.78346059069091	36.37581461722865	55.31826432836322	41.038858550875936	33.330064121837786	44.53513361323636	48.80124359138118	12.46710946405049	47.04876299812452	50.90103551204947	31.350554768771897	31.958870178965807	50.76087254479262	49.78387879567095	29.36108956130436	18.24025391010769	22.381842973948523	27.03688295221178	24.99633810740943	42.56101139131668	34.8618299516237	45.4776509773182	37.95795182542887	41.64969231088275	19.43515532166623	28.02076162918733	69.64355332541282	37.78134353294594	29.58422166342467	42.61686389477054	32.76853730369134	19.04860884063298	39.39897	71.13485491887212	10.263060709900891	48.21034477847643	20.697951910738556	52.01912	51.26619490484805	42.5901831067286	54.88909115824402	23.42185868750514	41.92552343475604	60.53109117902414	18.682979384751373	30.634447772399376	33.81765499211153	36.06487104875602	34.940200312773776	47.6444459513771	46.398209302522105	44.94693281241728	27.84830024590229	28.161772015550294	25.228371504268438	61.48213915696306	53.68167439226488	67.89792420594812	67.32034260909941	37.6748310779795	33.179165949955426	53.82001363604075	53.38217896434992	43.99017583988392	55.50633923076862	39.44015265191236	46.696415219281256	40.63754085250032	37.16261714760964	52.18745146913155	45.00196524373047
