ASV_ID	SRR18231040	SRR18231041	SRR18231042	SRR18231043	SRR18231044	SRR18231045	SRR18231046	SRR18231047	SRR18231048	SRR18231049	SRR18231050	SRR18231051	SRR18231052	SRR18231053	SRR18231054	SRR18231055	SRR18231056	SRR18231057	SRR18231058	SRR18231059	SRR18231060	SRR18231061	SRR18231062	SRR18231063	SRR18231064	SRR18231065	SRR18231066	SRR18231067	SRR18231068	SRR18231069	SRR18231070	SRR18231071	SRR18231072	SRR18231073	SRR18231074	SRR18231075	SRR18231076	SRR18231077	SRR18231078	SRR18231079	SRR18231080	SRR18231081	SRR18231082	SRR18231083	SRR18231084	SRR18231085	SRR18231086	SRR18231087	SRR18231088	SRR18231089	SRR18231090	SRR18231091	SRR18231092	SRR18231093	SRR18231094	SRR18231095	SRR18231096	SRR18231097	SRR18231098	SRR18231099	SRR18231100	SRR18231101	SRR18231104	SRR18231105	SRR18231106	SRR18231107	SRR18231108	SRR18231109	SRR18231110	SRR18231111	SRR18231112	SRR18231113	SRR18231114	SRR18231115	SRR18231116	SRR18231117	SRR18231118	SRR18231119	SRR18231120	SRR18231121	SRR18231122	SRR18231123	SRR18231124	SRR18231125	SRR18231126	SRR18231127	SRR18231128	SRR18231129	SRR18231130	SRR18231131	SRR18231132	SRR18231133	SRR18231134	SRR18231135	SRR18231136	SRR18231137	SRR18231138	SRR18231139	SRR18231140	SRR18231141	SRR18231142	SRR18231143	SRR18231144	SRR18231145	SRR18231146	SRR18231147	SRR18231148	SRR18231149	SRR18231150	SRR18231151	SRR18231152	SRR18231153	SRR18231154	SRR18231155	SRR18231156	SRR18231157	SRR18231158	SRR18231159	SRR18231160	SRR18231161	SRR18231162	SRR18231163	SRR18231164	SRR18231165	SRR18231166	SRR18231167	SRR18231168	SRR18231169	SRR18231170	SRR18231171	SRR18231172	SRR18231173	SRR18231174	SRR18231180	SRR18231191	SRR18231195	SRR18231196	SRR18231197	SRR18231198	SRR18231199	SRR18231200	SRR18231201	SRR18231202	SRR18231203	SRR18231204	SRR18231205	SRR18231206	SRR18231207	SRR18231208	SRR18231209	SRR18231210	SRR18231211	SRR18231212	SRR18231213	SRR18231214	SRR18231215	SRR18231216	SRR18231217	SRR18231218	SRR18231219	SRR18231220	SRR18231221	SRR18231222	SRR18231223	SRR18231224	SRR18231225	SRR18231226	SRR18231227	SRR18231228	SRR18231229	SRR18231230	SRR18231231	SRR18231232	SRR18231233	SRR18231234	SRR18231235	SRR18231236	SRR18231237	SRR18231238
ASV_11	0	15	0	11	0	0	0	0	24	0	10	17	0	0	0	58	159	25	0	4	10	21	8	0	0	0	0	0	6	0	0	8	2	5	14	18	9	0	0	28	23	16	7	0	0	29	0	7	11	0	18503	110	23905	26481	1754	123	1335	3574	8	772	5765	8066	10	0	0	0	136	0	5	0	0	0	0	0	0	0	0	12	168	9	0	11	0	8	67	0	0	19	0	0	101	0	46	0	6459	10150	1134	6763	9554	447	0	2531	3722	2221	5101	3634	41	2520	0	1302	0	0	210	0	0	0	0	0	0	0	0	0	0	0	9	35	2	0	0	0	0	13	0	43	0	4086	0	6682	10269	15	26	0	9	13	232	3058	923	0	0	0	0	0	0	0	7	0	0	0	0	0	0	45	0	0	0	0	0	5	9	0	0	0	0	0	0	0	12	13	0
ASV_12	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	50	86	19	0	0	21	24	21	18	0	9	0	0	26	16	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	4010	2894	8980	1202	3527	7091	2685	766	4896	0	11189	2096	5050	11	0	0	0	0	0	0	13	9	0	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	1358	2677	2311	3073	2450	668	0	2369	2199	2971	1791	3916	91	367	0	0	0	0	0	0	0	0	685	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	86	2449	4962	3321	4134	387	2596	700	0	3347	3411	3826	2690	0	0	0	0	0	0	0	0	0	0	13	20	0	0	0	37	0	15237	0	6865	1886	115	0	872	0	0	0	0	0	39	0	169
ASV_13	2214	4375	2703	0	8975	21	1082	3419	1649	6	584	2112	0	2770	935	307	2160	2072	715	894	1229	603	537	1985	1384	1371	330	1050	267	1145	2058	1806	0	1729	128	0	113	1411	0	0	0	928	547	412	912	856	720	1712	248	97	178	0	0	0	0	85	0	7	2120	11	758	0	0	0	1855	16	54	0	0	0	0	163	0	0	0	0	266	401	0	0	296	420	683	1020	1305	202	2286	440	733	215	2429	726	971	1013	0	43	0	0	9	14	212	22	153	0	10	0	0	0	2417	235	0	1158	825	1768	196	316	0	1222	6006	600	0	178	708	0	0	0	2951	0	756	1304	0	4688	0	3886	0	8	14	0	0	38	38	0	0	346	14	0	20	0	0	126	2353	1141	0	0	120	288	0	0	0	3099	6326	0	0	3312	0	156	0	3500	2022	0	0	0	1167	0	759	0	0	825	540
ASV_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5635	0	7583	2122	1302	7891	1042	111	0	4437	8533	5810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	62	0	0	0	7798	7460	3520	2127	3873	291	0	2536	448	96	859	312	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2742	1300	10275	3906	709	12304	0	0	4624	5850	9504	4398	0	0	0	0	0	0	0	34	0	0	427	0	0	0	0	0	0	0	0	0	0	38	179	1570	0	0	0	0	0	0	0	0
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1003	9394	5713	2218	7590	143	180	815	0	0	17196	13296	152	0	0	0	0	0	0	0	0	22	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	2744	4885	5990	0	0	0	529	2206	402	1562	1301	0	1231	0	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1336	0	0	0	0	0	0	0	0	0	0	831	1015	8453	1192	184	69	308	0	4730	210	4155	13438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	0	0	0	31	2513	1862	0	0	0	0	0	0	0	0
ASV_16	0	1868	986	0	2159	0	0	352	2324	0	0	935	2757	1752	0	149	1558	890	1161	291	1151	1268	470	1083	626	1125	245	2140	614	2097	435	681	53	1550	0	401	366	1497	0	0	0	2230	90	530	1209	261	0	0	148	156	44	78	0	17	0	102	0	0	0	29	24	10	0	683	203	0	0	0	0	154	0	0	0	0	0	0	0	344	0	0	489	0	408	427	843	17	1352	0	2192	0	637	1530	244	0	0	0	0	10	7	0	732	0	9	0	0	9	0	21	843	698	3155	264	1683	1995	7769	2289	9806	1118	1035	0	0	208	791	0	0	0	1913	0	1182	0	0	1706	1369	6411	0	8	27	0	0	261	41	10	0	35	20	0	37	0	0	1541	3503	3330	0	3241	225	1122	833	15	823	1531	760	0	0	3421	13	9	0	0	558	0	0	0	2201	0	639	0	0	331	71
ASV_17	0	2021	3215	0	2797	559	0	1098	2294	0	1690	195	0	1021	45	1451	14768	7032	320	953	3147	4126	2355	4218	3815	13	342	2060	125	218	1486	3198	6	2308	101	184	0	4788	0	0	0	264	15	72	189	2377	303	508	199	0	0	0	0	0	0	0	0	0	485	0	0	0	0	52	867	0	85	0	16	461	0	644	209	5	0	0	4	0	0	0	1763	320	592	268	661	24	1090	130	893	355	237	537	296	343	0	0	0	0	0	0	76	0	0	0	0	0	0	0	1522	0	0	0	22	5287	0	0	0	4427	551	0	0	0	0	0	0	0	4075	0	765	7	0	3384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	690	17	0	0	0	1932	18	0	0	2917	0	57	0	754	0	0	0	0	14	0	0	0	284	57	0	0	0	393	155
ASV_18	0	0	0	91	0	0	0	0	9	22	0	0	0	0	586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	13	3934	56	6822	7413	12269	22	10302	19773	2195	0	107	25	590	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	986	0	0	49	1426	8512	310	366	350	91	4425	375	2686	3024	1925	3893	11125	0	0	0	0	33	0	8	26	0	0	0	0	9	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	658	0	0	16	0	0	79	11	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	31	301
ASV_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18906	0	50324	0	0	12676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5300	0	0	0	0	0	0	3044	0	0	6103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	1421	0	0	0	0	6558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_20	240	0	0	0	0	0	0	222	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46944	0	225	0	0	0	0	1315	0	0	9850	0	2695	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	71	942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6072	0	0	0	0	0	0	1704	0	2631	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2091	6568	2269	3338	0	2176	0	0	0	0	2752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	1822	2983	0	0	0	0	0	0	0	0
