	reads.in	reads.out
SRR18231160_1_trimmed.fastq.gz	115569	113303
SRR18231161_1_trimmed.fastq.gz	29621	28508
SRR18231162_1_trimmed.fastq.gz	41940	40009
SRR18231163_1_trimmed.fastq.gz	14147	14027
SRR18231164_1_trimmed.fastq.gz	53614	51637
SRR18231165_1_trimmed.fastq.gz	3683	3518
SRR18231166_1_trimmed.fastq.gz	41519	40681
SRR18231167_1_trimmed.fastq.gz	15829	15035
SRR18231168_1_trimmed.fastq.gz	123808	120990
SRR18231169_1_trimmed.fastq.gz	100845	97153
SRR18231170_1_trimmed.fastq.gz	96322	91309
SRR18231171_1_trimmed.fastq.gz	101425	99574
SRR18231172_1_trimmed.fastq.gz	123745	121065
SRR18231173_1_trimmed.fastq.gz	137767	134199
SRR18231174_1_trimmed.fastq.gz	83272	80881
SRR18231180_1_trimmed.fastq.gz	96922	95723
SRR18231191_1_trimmed.fastq.gz	19298	18081
SRR18231195_1_trimmed.fastq.gz	79192	77908
SRR18231196_1_trimmed.fastq.gz	59832	58742
SRR18231197_1_trimmed.fastq.gz	164764	162434
SRR18231198_1_trimmed.fastq.gz	107415	105935
SRR18231199_1_trimmed.fastq.gz	137440	135669
SRR18231200_1_trimmed.fastq.gz	123581	121665
SRR18231201_1_trimmed.fastq.gz	109446	106270
SRR18231202_1_trimmed.fastq.gz	52176	49552
SRR18231203_1_trimmed.fastq.gz	161419	159281
SRR18231204_1_trimmed.fastq.gz	124465	122725
SRR18231205_1_trimmed.fastq.gz	154383	152125
SRR18231206_1_trimmed.fastq.gz	95963	94387
SRR18231207_1_trimmed.fastq.gz	48844	48271
SRR18231208_1_trimmed.fastq.gz	22236	21754
SRR18231209_1_trimmed.fastq.gz	67397	66509
SRR18231210_1_trimmed.fastq.gz	114313	113252
SRR18231211_1_trimmed.fastq.gz	100564	99202
SRR18231212_1_trimmed.fastq.gz	2457	2374
SRR18231213_1_trimmed.fastq.gz	62672	61381
SRR18231214_1_trimmed.fastq.gz	41197	39604
SRR18231215_1_trimmed.fastq.gz	39228	38927
SRR18231216_1_trimmed.fastq.gz	11323	10999
SRR18231217_1_trimmed.fastq.gz	22911	22227
SRR18231218_1_trimmed.fastq.gz	48075	46537
SRR18231219_1_trimmed.fastq.gz	99594	98881
SRR18231220_1_trimmed.fastq.gz	108214	106737
SRR18231221_1_trimmed.fastq.gz	71328	69708
SRR18231222_1_trimmed.fastq.gz	78653	77816
SRR18231223_1_trimmed.fastq.gz	140774	139401
SRR18231224_1_trimmed.fastq.gz	124745	122995
SRR18231225_1_trimmed.fastq.gz	26940	26473
SRR18231226_1_trimmed.fastq.gz	57642	57092
SRR18231227_1_trimmed.fastq.gz	55943	55051
SRR18231228_1_trimmed.fastq.gz	59452	57010
SRR18231229_1_trimmed.fastq.gz	75380	73576
SRR18231230_1_trimmed.fastq.gz	80071	77173
SRR18231231_1_trimmed.fastq.gz	63290	61337
SRR18231232_1_trimmed.fastq.gz	123972	119906
SRR18231233_1_trimmed.fastq.gz	103763	98526
SRR18231234_1_trimmed.fastq.gz	93252	89453
SRR18231235_1_trimmed.fastq.gz	68571	62811
SRR18231236_1_trimmed.fastq.gz	15218	14630
SRR18231237_1_trimmed.fastq.gz	106227	103426
SRR18231238_1_trimmed.fastq.gz	91427	89162
