	input	filtered	denoisedF	denoisedR	merged	nonchim
SRR18231168	123808	120990	120442	120430	118445	115192
SRR18231169	100845	97153	95916	94833	90322	76412
SRR18231170	96322	91309	89802	88116	83022	65646
SRR18231171	101425	99574	98221	98042	94103	87060
SRR18231172	123745	121065	119727	118638	112196	89720
SRR18231173	137767	134199	133499	133267	131054	127500
SRR18231174	83272	80881	79620	78777	72077	60922
SRR18231180	96922	95723	95305	95455	94531	93473
SRR18231191	19298	18081	17253	16652	14929	3012
SRR18231195	79192	77908	77655	77739	71417	68329
SRR18231196	59832	58742	58627	58400	57523	55163
SRR18231197	164764	162434	162168	162168	159694	152854
SRR18231198	107415	105935	105618	105697	102591	100560
SRR18231199	137440	135669	135323	135439	131976	128422
SRR18231200	123581	121665	121486	121463	119198	109992
SRR18231201	109446	106270	106063	105958	104350	104054
SRR18231202	52176	49552	47995	47083	42277	19571
SRR18231203	161419	159281	158971	159147	152481	149345
SRR18231204	124465	122725	122498	122432	109403	108513
SRR18231205	154383	152125	151755	151686	144830	141321
SRR18231206	95963	94387	94086	94279	92280	90942
SRR18231207	48844	48271	47714	47472	46514	45555
SRR18231208	22236	21754	21043	20679	18323	16334
SRR18231209	67397	66509	65867	65585	64175	62747
SRR18231210	114313	113252	112857	113006	111668	111250
SRR18231211	100564	99202	98342	98211	96531	95634
SRR18231212	2457	2374	2131	1983	1856	1559
SRR18231213	62672	61381	59687	58789	54458	49717
SRR18231214	41197	39604	38577	38118	35898	28916
SRR18231215	39228	38927	38579	38603	38202	37935
SRR18231216	11323	10999	9936	9405	8113	6724
SRR18231217	22911	22227	20962	20301	17631	15204
SRR18231218	48075	46537	44290	43221	33747	25027
SRR18231219	99594	98881	98451	98593	97320	96064
SRR18231220	108214	106737	105375	105251	101174	97915
SRR18231221	71328	69708	68021	66924	60098	53416
SRR18231222	78653	77816	76637	76640	75091	73921
SRR18231223	140774	139401	138782	138992	137663	136548
SRR18231224	124745	122995	121482	120921	116329	112668
SRR18231225	26940	26473	26249	26274	25655	25647
SRR18231226	57642	57092	56420	56345	55501	54860
SRR18231227	55943	55051	53528	52977	50098	47050
SRR18231228	59452	57010	56300	55944	54109	41403
SRR18231229	75380	73576	72416	72058	68799	54705
SRR18231230	80071	77173	76049	75337	72198	56324
SRR18231231	63290	61337	59972	58598	54420	32731
SRR18231232	123972	119906	119244	118817	116625	112328
SRR18231233	103763	98526	97015	95313	89398	72563
SRR18231234	93252	89453	88369	87356	85037	74882
SRR18231235	68571	62811	61755	58498	54973	33517
SRR18231236	15218	14630	14262	14149	13651	11891
SRR18231237	106227	103426	102598	102643	97759	95168
SRR18231238	91427	89162	88430	88401	85888	85177
