#mpa_vJun23_CHOCOPhlAnSGB_202403
clade_name	SRR15595244	SRR15595245	SRR15595246	SRR15595247	SRR15595248	SRR15595249	SRR15595250	SRR15595251	SRR15595252	SRR15595253	SRR15595254	SRR15595255	SRR15595256	SRR15595257	SRR15595259	SRR15595261	SRR15595263	SRR15595265	SRR15595267	SRR15595269	SRR15595271	SRR15595273	SRR15595275	SRR15595277	SRR15595279	SRR15595281	SRR15595283	SRR15595285	SRR15595287	SRR15595289	SRR15595291	SRR15595293	SRR15595295	SRR15595297	SRR15595299	SRR15595301	SRR15595303	SRR15595305	SRR15595307	SRR15595309	SRR15595311	SRR15595313	SRR15595315	SRR15595317	SRR15595318	SRR15595319	SRR15595320	SRR15595321	SRR15595322	SRR15595323	SRR15595324	SRR15595325	SRR15595326	SRR15595327	SRR15595328	SRR15595329	SRR15595330	SRR15595331	SRR15595332	SRR15595333	SRR15595334	SRR15595335	SRR15595336	SRR15595337	SRR15595338	SRR15595339	SRR15595340	SRR15595341	SRR15595342	SRR15595343	SRR15595344	SRR15595345	SRR15595346	SRR15595347	SRR15595348	SRR15595349	SRR15595350	SRR15595351	SRR15595352	SRR15595353
k__Bacteria|p__Actinobacteria|c__Actinomycetia	9.73488	15.57978	6.49221	0.0	2.98799	23.55863	2.20725	0.0	0.54989	50.32623	27.51582	10.91272	0.0	9.46908	13.42504	6.98299	0.0	5.38706	4.72061	49.60085	43.0155	11.10883	2.00362	15.93664	6.58784	5.1044	6.41489	1.01161	0.0	24.9417	1.38155	4.66264	6.56146	1.53801	0.0	3.2785	23.7177	0.17778	39.95615	3.70039	28.20197	14.69886	21.07148	0.0	0.0	16.29965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.25873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.36535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.66604	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	2.58865	0.63348	4.56492	0.0	0.69754	4.60103	0.21787	0.0	3.3609	0.42128	0.32683	4.57482	0.0	1.39322	1.22326	0.49472	0.0	5.45757	2.77637	5.80921	0.10169	2.05813	3.43534	5.39724	3.81145	1.50759	0.15175	0.70659	0.0	6.24442	0.0	0.37902	0.29983	2.32149	0.0	8.5667	6.51302	0.74453	1.15535	4.02068	8.02811	4.91962	0.84625	0.0	0.0	0.45882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5999	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.81956	2.90036	0.85067	0.0	3.59398	5.00407	0.74436	0.0	0.11491	0.37743	0.98543	0.53601	0.0	1.22266	0.67691	7.93161	0.0	0.38101	0.6755	3.13308	3.4148	2.7384	0.53429	0.81473	1.56261	1.11657	2.64141	0.76659	0.0	3.41037	0.0	4.02555	2.51748	0.71747	0.0	0.47322	4.88561	2.14975	0.91716	0.7758	4.58833	3.88475	0.4596	0.0	0.0	3.15823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.50593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3128	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.58221	0.89535	0.0	0.0	0.72083	1.05243	7.8952	0.0	0.67478	0.0	0.0	0.0	0.0	0.43049	0.0	0.0	0.0	0.0	0.03724	0.0	0.24754	0.76452	0.0	0.0	0.0	0.00096	0.10353	3.3724	0.0	0.04265	0.0	4.22455	0.0	11.0273	0.0	3.66131	0.0	0.0	0.0	0.0	0.0	0.0998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.02716	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1765	0.46732	0.0	0.05191	0.0	0.55081	2.03762	0.15494	0.0	0.07893	0.0	0.0	0.06313	0.0	0.61717	0.0	0.0	0.0	0.0	0.01128	0.0	0.0	0.4476	0.12151	0.0	0.2726	0.0	0.22003	0.08439	0.0	0.12869	0.0	0.18419	0.0	0.04941	0.0	1.56982	0.03346	0.28762	0.0	0.0	0.01725	0.7617	0.01252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58398	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli	0.42214	0.21616	0.0374	0.0	0.22912	2.65083	0.27866	0.0	0.03345	3.30367	0.17547	3.44618	0.0	0.51048	2.49881	0.07174	0.0	0.52483	1.89299	1.04883	0.63629	1.94963	0.04597	5.4996	0.69532	0.10154	3.90099	0.7143	0.0	0.70514	49.43066	4.5242	0.31414	0.03321	0.0	0.02307	1.10272	0.09156	11.66301	0.01411	0.53759	0.96245	2.75857	0.0	0.0	0.28532	0.0	0.0	0.0	48.02495	0.0	0.0	0.0	0.0	0.0	0.0	0.05487	0.0	45.80698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1346	45.56524	0.0	0.0	0.0	0.0	0.0	43.15485	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2890	0.35864	0.0	0.0	0.0	0.0	0.07778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1354	0.2759	0.0	0.0	0.0	0.0	0.30002	0.0	0.0	0.13962	0.0	0.0	0.0	0.0	0.09651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36398	0.0	1.95386	0.0	0.74908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4504	3.34969	0.78068	0.0	0.0	0.00046	0.09008	0.10043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27737	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.20041	0.61675	0.01172	0.0	0.0	0.22294	0.33792	0.0	0.00415	1.00314	0.0	0.05525	0.0	0.42916	4.01804	1.47438	0.0	2.4155	0.29594	0.06346	0.06513	2.34755	0.4304	0.00695	3.65769	0.04419	1.25887	0.00812	0.0	0.02235	0.0	0.0	27.03179	0.12558	0.0	0.02078	0.03488	0.17159	8.80807	2.00512	4.15169	0.0	0.15705	0.0	0.0	0.06029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52411	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2982	0.18164	0.0	0.22814	0.0	0.0	0.1082	0.0	0.0	0.1109	0.0	0.0	0.0	0.0	0.14536	0.0	0.0	0.0	0.0	0.0	0.0	0.03394	0.0	0.0	0.0	0.0	0.0	0.12223	0.0	0.0	0.0	0.0	0.08409	0.0	0.10563	0.0	0.14445	0.03619	0.67265	0.0	0.0	0.0	0.15435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32048	0.0	0.0	0.0
