	input	filtered	denoisedF	denoisedR	merged	nonchim
SRR11733560	59875	46686	45794	45828	35046	26736
SRR11733574	21816	17012	16453	16472	13776	11853
SRR11733576	21208	16354	15776	15814	13979	13121
SRR11733578	22918	18638	17879	17968	14984	11687
SRR11733580	23168	18460	17510	17555	14381	11606
SRR11733584	25526	20494	19681	19686	16324	12952
SRR11733587	28150	21670	21053	21047	15896	13477
SRR11733590	18006	14555	13922	14055	11483	9044
SRR11733593	25820	20905	20058	20144	16899	12562
SRR11733594	40008	25367	24833	24827	18479	14658
SRR11733597	23845	18024	17076	17251	13603	10911
SRR11733600	23561	17389	16758	16671	13928	10879
SRR11733603	15723	12522	12077	12095	9575	7419
SRR11733607	22094	17247	16623	16643	13559	10906
SRR11733610	32708	27009	25915	26127	22143	19058
SRR11733613	35911	29029	28165	28184	22954	17259
SRR11733618	25483	20810	20033	19935	17019	13693
SRR11733621	21509	17676	17179	17263	14464	11271
SRR11733624	14369	11901	11617	11573	10148	8232
SRR11733628	16938	13488	12895	13010	11166	10216
SRR11733631	21559	17072	16416	16499	14210	12391
SRR11733634	24226	19705	18895	18868	16195	14592
SRR11733638	34276	25620	24847	24834	19174	14846
SRR11733641	25597	16617	16118	16207	12060	9393
SRR11733644	19767	15161	14275	14398	10819	10247
SRR11733647	21329	17115	16904	16930	12544	9462
SRR11733648	34826	27133	26484	26556	19272	14990
SRR11733651	24962	19477	18942	18963	15652	13375
SRR11733681	16129	13622	13094	13130	11267	9646
SRR11733684	21361	17429	16752	16756	14790	13046
SRR11733687	25502	20743	20167	20191	16884	15390
SRR11733690	22277	18637	18077	18107	14817	10918
SRR11733691	30439	22570	22312	22304	17607	12946
SRR11733694	21832	17582	17177	17119	14047	10721
SRR11733697	23261	18534	17919	18009	13530	11524
SRR11733700	28253	18925	18431	18430	14183	11660
SRR11733704	20836	14585	13808	13804	11717	11240
SRR11733707	24884	18243	17596	17587	12992	10461
SRR11733710	19731	14787	14154	14109	11435	9651
SRR11733715	19999	14611	14063	14054	11606	10218
SRR11733718	15586	12394	12033	12063	9276	7743
SRR11733721	23646	18195	17627	17578	14539	12678
SRR11733725	29816	21552	20949	20997	16974	13963
SRR11733728	40251	32405	31699	31890	26491	20366
SRR11733731	27364	18476	17950	17901	14373	12313
SRR11733748	28528	22997	22287	22210	20296	19122
SRR11733749	25997	21722	21371	21449	17609	14268
SRR11733778	17771	12932	12358	12494	9787	8118
SRR11733781	18729	13732	13151	13119	10517	9129
SRR11733784	22686	16835	16529	16451	13071	10617
SRR11733787	21746	16164	15783	15756	12370	10600
SRR11733788	27120	21709	21173	21222	16868	13012
SRR11733791	26381	20140	19518	19468	16049	14867
SRR11733794	25162	19419	19001	19005	14962	12088
SRR11733797	26447	21074	20344	20284	15988	11653
SRR11733801	18348	14966	14258	14389	11536	8813
SRR11733804	18839	15578	14864	14899	11607	9227
SRR11733807	21168	16791	16285	16232	13560	11307
SRR11733809	22227	18571	17832	17865	15126	13694
SRR11733812	24745	19967	19434	19526	16068	12527
SRR11733815	23036	17851	17176	17189	15034	12361
SRR11733818	22644	18396	17825	17828	14730	11969
SRR11733819	8822	6159	6059	6083	4789	4154
SRR11733821	29490	22146	21317	21116	18612	16392
SRR11733854	29205	23094	22180	22270	18756	16972
SRR11733890	33820	26313	25903	25905	21992	17408
SRR11733920	35328	27791	27545	27251	21265	15785
SRR11733927	26984	21651	21323	21182	18301	14750
