	input	filtered	denoisedF	denoisedR	merged	nonchim
ZP0371	53769	13409	12217	12714	9890	4623
ZP0395	38391	23555	21286	22586	18597	10090
ZP0396	34090	19836	18298	19231	15840	8590
ZP0399	43460	10138	9455	9801	8322	4232
ZP0458	32885	19741	18437	19065	16144	8127
