ASV_ID	SRR21922134	SRR21922135	SRR21922136	SRR21922137	SRR21922138	SRR21922139	SRR21922140	SRR21922141	SRR21922142	SRR21922143	SRR21922144	SRR21922145	SRR21922146	SRR21922147	SRR21922148	SRR21922149	SRR21922150	SRR21922151	SRR21922152	SRR21922153	SRR21922154	SRR21922155	SRR21922156	SRR21922157	SRR21922158	SRR21922159	SRR21922160	SRR21922161	SRR21922162	SRR21922163	SRR21922164	SRR21922165	SRR21922166	SRR21922167	SRR21922168	SRR21922169	SRR21922170	SRR21922171	SRR21922172	SRR21922173	SRR21922174	SRR21922175	SRR21922176	SRR21922177	SRR21922178	SRR21922179	SRR21922180	SRR21922181	SRR21922182	SRR21922183	SRR21922184	SRR21922185	SRR21922186	SRR21922187	SRR21922188	SRR21922189	SRR21922190	SRR21922191	SRR21922192	SRR21922193
ASV_60	29	0	59	0	0	0	0	22	40	0	0	298	107	16	0	359	0	104	29	0	69	146	0	0	0	70	83	0	0	0	0	555	30	0	0	13	0	0	0	83	0	0	66	0	0	0	66	0	0	0	0	43	0	0	0	99	0	0	0	563
ASV_61	13	0	27	11	173	36	0	0	0	11	5	32	26	0	0	90	121	73	23	0	53	51	0	13	0	157	85	75	24	267	26	0	7	0	0	403	0	12	69	0	0	181	0	11	278	73	0	0	25	7	24	243	0	0	13	0	8	40	76	78
ASV_62	0	2	0	0	23	0	0	0	0	214	8	8	10	0	0	0	0	18	287	52	6	0	27	20	1	0	7	48	0	43	65	0	0	0	0	0	741	154	0	20	25	12	0	22	0	15	25	18	27	28	117	143	405	13	230	0	95	0	0	0
ASV_63	31	22	0	0	31	0	0	0	0	215	0	5	39	0	0	0	0	10	286	38	5	0	19	0	14	0	7	32	0	56	59	0	0	0	13	0	649	148	0	22	27	28	0	14	0	41	29	21	0	35	146	102	346	25	240	13	117	0	0	0
ASV_64	0	0	52	13	339	0	17	22	26	69	18	196	14	219	0	35	0	0	21	75	34	49	40	103	24	0	52	58	22	183	42	12	7	20	115	68	0	102	21	56	0	0	75	36	0	50	170	78	75	0	0	37	0	28	82	80	22	0	21	0
ASV_65	29	59	0	24	102	0	10	67	59	37	17	38	49	32	0	270	240	59	32	68	82	8	0	36	31	26	112	52	50	46	29	39	0	55	34	69	28	44	175	37	0	0	42	26	0	77	31	47	26	19	74	100	0	12	63	0	40	54	0	69
ASV_66	4	32	65	41	0	0	0	189	175	0	0	0	0	0	276	0	0	16	0	23	0	0	0	79	0	308	0	0	0	0	0	0	0	211	20	0	0	0	0	350	57	180	0	14	0	0	0	156	132	7	48	0	0	203	0	0	0	0	237	0
ASV_67	105	17	103	120	153	66	14	0	0	17	13	16	41	28	0	219	76	29	68	39	54	106	0	44	63	81	107	19	66	222	20	22	0	0	0	122	0	41	50	140	0	24	0	38	55	38	0	0	30	0	54	58	0	0	47	20	47	30	0	99
ASV_68	32	0	63	0	0	0	0	30	27	0	0	290	86	11	0	337	0	84	19	0	72	164	0	0	0	83	95	0	0	0	0	556	22	0	0	0	0	0	0	89	0	0	36	0	0	0	76	0	0	0	0	28	0	0	0	101	0	0	0	516
ASV_69	0	28	0	0	35	0	0	0	0	161	0	25	27	0	0	0	0	0	262	39	8	0	0	0	0	0	8	41	0	79	60	0	0	0	24	0	675	150	0	0	16	24	0	34	0	30	36	31	0	29	107	113	373	16	265	23	97	0	0	0
ASV_70	0	29	0	0	34	0	0	0	0	205	0	27	20	0	0	0	0	0	261	35	10	0	0	0	0	0	9	54	0	38	53	0	0	0	22	0	611	152	0	0	34	15	0	24	0	29	28	27	0	46	112	134	401	17	262	20	86	0	0	0
ASV_71	29	51	27	19	142	0	12	62	55	33	11	31	57	24	0	264	273	45	23	56	71	16	0	35	29	12	82	63	53	18	46	42	25	46	23	53	0	48	171	45	26	23	28	39	0	100	23	46	49	7	35	89	0	31	56	0	40	61	0	49
ASV_72	0	0	0	0	272	71	24	49	0	23	23	0	55	0	165	0	112	23	57	22	18	0	0	0	17	74	24	0	305	123	0	0	0	0	25	0	0	489	66	0	128	20	0	8	0	24	30	0	0	42	0	0	40	0	386	44	33	0	0	0
ASV_73	19	25	0	0	28	0	0	0	0	209	0	0	14	15	0	0	0	9	243	30	10	0	0	0	20	0	2	39	0	43	62	0	0	0	13	0	677	134	0	30	18	25	0	21	0	20	30	23	0	25	132	98	383	32	239	11	100	0	0	0
ASV_74	29	0	45	0	0	275	29	46	33	32	24	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	25	41	0	0	0	0	0	0	0	0	1257	0	28	0	0	0	0	0	170	467	0	0	0	0	50	53	0	61	0	0	0	0	0
ASV_75	23	42	0	26	117	0	13	64	63	46	16	39	57	20	18	299	237	49	26	60	70	29	31	21	27	0	86	66	45	30	40	22	25	66	13	49	0	46	141	36	0	27	30	24	0	100	27	28	56	7	45	104	0	24	64	0	54	72	0	44
ASV_76	80	0	0	0	0	0	0	100	117	0	0	0	0	0	0	0	0	234	730	0	0	0	97	0	80	0	0	0	0	292	0	0	0	0	33	43	0	0	0	0	0	0	196	0	0	0	0	0	0	0	54	219	231	0	0	132	0	0	0	123
ASV_77	0	0	63	0	0	370	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	1224	0	57	0	0	60	81	0	0	0	0	0	0	0	0	433	0	0	77	0	0	238	0	0	0	0	0	0	0	0	12	29	0	0	0
ASV_78	28	52	11	19	100	24	25	72	64	34	12	34	49	20	12	313	266	50	27	84	93	22	0	29	22	18	83	50	29	22	39	29	26	37	21	44	0	38	148	31	0	8	27	29	0	89	19	39	58	0	62	93	0	22	62	0	42	69	0	60
ASV_79	0	31	0	88	18	18	0	29	15	48	0	24	0	63	58	29	27	0	0	0	0	22	0	0	90	288	0	34	116	29	0	0	0	23	0	0	0	0	227	26	0	0	507	0	439	0	0	23	81	66	0	21	124	33	32	48	35	0	39	0
ASV_80	0	0	16	12	131	29	0	0	0	14	11	24	29	0	0	77	117	54	22	0	59	47	0	21	0	131	93	88	26	206	19	0	20	0	0	368	0	10	58	0	0	200	0	3	310	83	0	0	16	11	17	230	0	0	7	0	13	41	80	53
ASV_81	0	0	49	17	343	67	13	33	33	66	18	195	0	220	0	19	0	0	42	70	38	47	0	88	33	0	50	75	23	198	53	13	11	14	0	96	0	112	17	53	0	0	79	56	0	28	163	79	42	0	0	59	0	21	73	0	28	0	0	0
ASV_82	25	50	0	21	125	0	9	70	58	39	19	24	55	22	33	311	255	55	28	68	65	18	0	19	21	0	87	42	66	29	23	36	19	57	16	44	0	31	163	34	0	18	26	23	0	96	35	37	38	5	43	100	0	23	50	0	59	81	0	62
ASV_83	41	50	20	63	149	34	79	87	58	69	83	46	0	38	0	0	0	35	103	66	30	241	49	53	18	0	37	102	33	21	35	54	43	63	35	28	0	155	0	25	0	0	25	25	0	47	0	161	76	0	29	106	0	48	77	39	43	0	0	0
ASV_84	0	0	82	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	1247	0	0	0	0	63	73	0	0	41	0	0	0	0	0	470	0	0	83	0	0	219	0	0	0	0	0	0	0	0	0	36	0	0	0
ASV_85	19	0	47	31	146	17	23	56	43	28	17	41	32	36	0	0	53	28	46	54	45	0	25	24	35	57	81	43	25	51	25	71	0	46	26	68	0	30	116	52	36	41	19	59	0	79	39	150	39	39	58	132	40	31	33	49	39	133	93	43
ASV_86	17	60	16	53	181	24	71	71	74	86	92	46	0	35	0	0	0	26	108	58	43	244	45	39	14	0	57	75	44	22	37	52	70	86	36	10	0	146	0	16	0	0	27	15	0	43	0	127	58	0	34	130	0	33	61	27	64	0	0	0
ASV_87	0	0	35	12	318	0	14	30	41	66	15	166	30	223	0	33	0	0	20	78	40	34	0	93	37	0	81	81	25	161	45	18	8	7	0	75	0	122	17	47	0	0	89	63	0	50	174	81	68	0	0	40	0	27	77	0	23	0	0	0
ASV_88	11	60	41	0	158	0	25	58	0	47	17	80	32	32	49	205	59	53	0	40	35	0	64	0	0	0	55	178	18	65	29	0	0	74	32	48	0	0	117	27	69	26	22	34	24	48	47	83	68	0	45	0	0	80	57	33	98	0	40	172
ASV_89	0	0	0	0	258	71	39	0	0	15	30	0	64	0	152	0	103	22	38	18	22	0	0	0	11	49	36	0	268	139	0	0	0	0	23	0	0	518	49	0	119	10	0	10	0	16	54	0	56	19	0	0	32	0	342	40	32	0	0	0
ASV_90	0	0	66	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1157	0	0	0	0	66	95	0	0	51	0	0	0	0	0	428	0	0	101	0	0	246	0	0	0	0	0	0	0	0	0	25	0	33	0
ASV_91	34	103	0	0	137	42	0	35	44	96	0	48	59	37	0	88	0	39	58	32	57	0	32	20	13	0	55	102	114	91	53	56	54	75	0	84	0	60	163	0	0	0	0	0	0	87	70	28	27	57	57	98	0	79	143	60	51	0	0	0
ASV_92	0	48	0	0	24	20	0	45	0	36	39	18	0	0	48	25	33	0	0	0	0	19	44	0	89	322	0	38	119	0	0	0	0	27	0	0	0	0	216	15	0	0	485	0	421	0	0	26	67	85	0	35	118	34	0	25	24	0	52	36
ASV_93	0	0	0	0	0	1809	0	0	0	0	0	0	0	0	0	165	382	0	0	0	32	0	14	0	0	0	67	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_94	22	9	31	275	0	0	0	83	73	0	0	25	0	106	0	0	0	203	0	29	0	0	17	30	0	178	0	0	0	0	40	0	0	243	117	0	0	0	0	205	7	23	0	125	25	0	0	150	157	34	19	0	0	183	0	17	21	0	152	0
ASV_95	60	0	0	27	104	35	18	31	22	31	13	65	29	0	0	416	38	0	52	43	52	302	15	26	26	0	94	17	122	90	32	105	32	8	0	7	83	57	0	16	0	0	0	83	0	46	24	18	31	65	89	0	35	6	80	0	9	0	17	24
ASV_96	19	16	23	243	0	0	0	82	72	0	0	21	0	105	0	0	0	204	0	24	0	0	25	43	0	199	0	0	0	0	24	0	0	249	148	0	0	0	0	213	18	16	0	111	21	0	0	131	161	37	18	0	0	172	0	11	15	0	172	0
ASV_97	53	0	0	34	111	40	10	29	23	43	15	86	29	0	0	388	68	0	51	0	66	273	26	30	26	0	86	16	115	98	37	63	41	27	0	14	121	43	0	0	0	37	0	68	0	34	12	14	15	63	90	0	45	9	85	0	7	0	24	27
ASV_98	14	49	0	20	121	0	25	57	50	34	20	28	35	25	0	300	207	38	33	68	60	13	0	39	17	20	107	56	54	26	30	47	0	50	26	52	0	47	136	38	0	0	28	20	0	93	35	33	52	19	48	84	0	18	54	0	55	57	0	47
ASV_99	0	7	0	0	22	0	0	0	0	206	0	11	16	0	0	0	0	0	217	38	8	0	0	0	0	0	6	53	0	48	52	0	0	0	8	0	711	131	0	15	20	19	0	21	0	24	30	24	0	37	94	101	334	0	237	0	94	0	0	0
ASV_100	32	50	0	21	75	0	18	50	65	29	17	25	48	19	0	227	201	55	18	76	62	20	0	25	14	24	90	53	66	24	41	38	0	46	23	42	0	47	166	42	0	15	29	29	0	80	35	44	43	17	38	77	0	24	59	82	44	55	0	60
