#mpa_vJan25_CHOCOPhlAnSGB_202503
#clade_name	relative_abundance
UNCLASSIFIED	6.72496
d__Bacteria	93.27504766506955
d__Bacteria;p__Bacteroidota	51.17727124969518
d__Bacteria;p__Bacillota_A	27.999730073346825
d__Bacteria;p__Pseudomonadota	8.091758815845164
d__Bacteria;p__Actinomycetota	4.529967529390715
d__Bacteria;p__Bacillota_C	0.9612365800839497
d__Bacteria;p__Desulfobacterota	0.20216431809283994
d__Bacteria;p__Bacillota_I	0.2520664636034376
d__Bacteria;p__Bacillota	0.05758800866961308
d__Bacteria;p__Verrucomicrobiota	0.0020986883625952286
d__Bacteria;p__Patescibacteria	0.0011659379792195715
d__Bacteria;p__Bacteroidota;c__Bacteroidia	51.17727124969518
d__Bacteria;p__Bacillota_A;c__Clostridia	27.999730073346825
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria	4.8857091981063565
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	3.2060496177388087
d__Bacteria;p__Actinomycetota;c__Actinomycetes	4.011638141348863
d__Bacteria;p__Bacillota_C;c__Negativicutes	0.9612365800839497
d__Bacteria;p__Actinomycetota;c__Coriobacteriia	0.5183293880418527
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0.20216431809283994
d__Bacteria;p__Bacillota_I;c__Bacilli_A	0.2520664636034376
d__Bacteria;p__Bacillota;c__Bacilli	0.05758800866961308
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.0020986883625952286
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	0.0011659379792195715
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	51.17727124969518
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales	16.69313513115145
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32	4.8857091981063565
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales	3.2040348769107174
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales	10.569722139328604
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales	4.011638141348863
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales	0.7310804229860063
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales	0.5183293880418527
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales	0.2301561570979434
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales	0.20216431809283994
d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77	0.24975324265266596
d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381	0.15622636171158882
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales	0.2520664636034376
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	0.2854495998244524
