#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SRR22402254	SRR22402255	SRR22402256	SRR22402257	SRR22402258	SRR22402259	SRR22402260	SRR22402261	SRR22402262	SRR22402263	SRR22402264	SRR22402265	SRR22402266	SRR22402267	SRR22402268	SRR22402270	SRR22402271	SRR22402272	SRR22402273	SRR22402274	SRR22402275	SRR22402276	SRR22402277	SRR22402278	SRR22402279	SRR22402280	SRR22402281	SRR22402282	SRR22402283	SRR22402284	SRR22402286	SRR22402287	SRR22402288	SRR22402289	SRR22402290	SRR22402291	SRR22402292	SRR22402293	SRR22402294	SRR22402295	SRR22402296	SRR22402297	SRR22402298	SRR22402299	SRR22402300	SRR22402302	SRR22402303	SRR22402304	SRR22402305	SRR22402306	SRR22402307	SRR22402308	SRR22402309	SRR22402310	SRR22402311	SRR22402312	SRR22402313	SRR22402314	SRR22402315	SRR22402316	SRR22402269	SRR22402285	SRR22402301	SRR22402317	SRR22402333	SRR22402349	SRR22402365	SRR22402318	SRR22402319	SRR22402320	SRR22402321	SRR22402322	SRR22402323	SRR22402324	SRR22402325	SRR22402326	SRR22402327	SRR22402328	SRR22402329	SRR22402330	SRR22402331	SRR22402332	SRR22402334	SRR22402335	SRR22402336	SRR22402337	SRR22402338	SRR22402339	SRR22402340	SRR22402341	SRR22402342	SRR22402343	SRR22402344	SRR22402345	SRR22402346	SRR22402347	SRR22402348	SRR22402350	SRR22402351	SRR22402352	SRR22402353	SRR22402354	SRR22402355	SRR22402356	SRR22402357	SRR22402358	SRR22402359	SRR22402360	SRR22402361	SRR22402362	SRR22402363	SRR22402364	SRR22402366	SRR22402367	SRR22402368	SRR22402369	SRR22402370	SRR22402371	SRR22402372	SRR22402373	SRR22402374	SRR22402375	SRR22402376	SRR22402377	SRR22402378	SRR22402379	SRR22402380	SRR22402381	SRR22402382	SRR22402383	SRR22402384	SRR22402385
UNCLASSIFIED	11.48807	9.91519	8.86362	14.02463	11.10225	10.93613	6.35604	12.98206	9.10175	7.96649	14.12696	10.00999	16.12162	12.39882	11.61868	10.09204	11.81225	14.19664	8.01261	8.87844	14.32948	8.7453	8.11306	10.36146	9.2474	13.77408	11.22544	13.15496	17.19594	6.72496	18.11067	9.41072	9.49125	13.04787	11.74214	10.07955	12.37378	13.60831	15.56797	11.58089	8.88618	10.02191	13.96157	11.5657	13.8877	10.70887	11.85601	11.75769	16.35525	13.74859	10.26821	7.32455	12.67301	13.95369	7.54322	14.8019	13.5249	10.21845	11.6123	9.63336	13.01742	14.32116	14.38305	10.14743	12.83501	5.38575	11.33781	11.90484	8.68988	12.16365	10.7094	11.65358	14.18841	12.45999	12.28441	10.87598	10.60161	6.91546	11.28823	9.38265	10.01696	11.18359	11.11159	13.12836	6.14882	2.80591	10.0491	6.73598	9.55629	10.44651	14.36745	13.16283	11.92965	11.0794	9.91077	9.874	7.46723	14.94133	7.65312	7.7366	9.86876	15.65076	5.23627	12.54138	9.43142	12.77992	13.3663	12.28761	12.55501	10.99356	14.25305	9.99075	13.79266	12.12744	10.02559	13.76229	15.9581	8.64375	12.90485	6.32878	8.93944	14.38707	12.33408	6.02804	13.57541	8.44344	10.27347	10.07431	14.35701	8.22924	11.7735	18.98871
k__Bacteria	88.22764886834052	90.08481017881964	91.13637610472864	85.21640182036968	88.82548001393234	88.73757364640974	93.5920463920322	87.01794095674255	90.7046596978785	92.03351489698528	85.87303910691345	89.76197204428514	83.87838476113286	87.60118076904307	88.38132351424835	89.9079596741394	88.04760256724079	85.80336308980543	91.98739337183966	91.12156076191324	85.67051798175892	91.25470209742753	90.84191324637608	88.86864544494702	90.75259947497328	86.04948644370181	88.32533811283385	86.84504342030745	82.80405565812153	93.27503833756572	81.88933193017975	90.35162219410589	90.50875186621889	86.95213134621811	88.25786437596888	89.9204505313565	87.62622171243571	86.39168612368734	84.4320311383125	88.21903984247638	91.09872497105457	89.97809277834826	85.9869879555402	88.09587402125787	86.0030790322891	89.29112511270498	88.14399082233125	88.24230569259804	83.64474658670899	86.18873477353857	89.73179371256576	92.32656575378115	87.3269860669042	86.04631271385477	91.3881200997318	85.17523120078535	85.94652170045497	89.66421236933515	87.88001254754205	90.35903110733167	86.97023281420307	85.67883611330655	85.40546641734474	89.67613421178261	87.16498527550259	94.61424810309823	88.4378283957055	88.07398732949548	91.21150440088044	87.76125617586378	89.29060001483482	88.08166716252099	85.71562917390895	87.38532348520806	87.56023993151412	89.1240192008413	89.18554106692821	93.0845353598244	88.71151297097856	90.61735100787772	89.98304034304614	88.81640840831952	88.8884130440328	86.87163902363109	93.85117888088232	97.19409186158144	89.95089682966932	93.21411679090328	90.44371058409428	89.55348898933391	85.6325477510037	86.59431100774633	87.4375087750612	88.69541150478594	90.08922819412857	90.09514823946454	92.53277017407684	84.64434480411884	91.70465717775066	92.26340031337612	89.72076409576349	84.34924120353648	94.5729978203618	87.45816069753405	90.31756468359924	87.22008391474112	86.31227114941527	87.7123916734545	87.44499079347851	88.768525460488	85.74695325896657	90.00925385839375	86.20734374575545	87.87255607691887	89.97441339281887	86.23770884797449	84.04190118292664	91.35625388934696	87.06778350785777	93.67122324864074	90.98020683861282	85.61292577531006	87.6659243648538	93.95799301050772	86.4245861155276	91.30463667646936	89.7265340440257	89.86078850951529	82.98178398267953	91.77075601568284	88.22649953413176	80.73885273130007
k__Archaea	0.2842826215592601	0.0	0.0	0.7589647434151232	0.0722738739108164	0.2393858645000023	0.0519162128681567	0.0	0.0	0.0	0.0	0.2280346770318172	0.0	0.0	0.0	0.0	0.1166900315150567	0.0	0.0	0.0	0.0	0.0	0.9558355518944736	0.7258391293237628	0.0	0.1764354814432318	0.3391987317375383	0.0	0.0	0.0	0.0	0.2376609844188597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2000659105874575	0.0150975603934609	0.0	0.0514423774961224	0.3384292351318779	0.1092248462395257	0.0	0.0	0.0	0.0	0.0	0.0	0.3488860056937191	0.0	0.0	1.068661712577578	0.0	0.5285790533576797	0.1173355049168599	0.5076901253830142	0.0	0.0123515269764474	0.0	0.0855398935887226	0.1764345039301736	0.0	0.0	0.224359666892404	0.0211692661299287	0.0986149288761371	0.0750912934515176	0.0	0.264756562619501	0.082653725681739	0.1546831917982702	0.0	0.0	0.2128486260199402	0.0	0.0002572641336818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049905578369798	0.0	0.0	0.0	0.2428575091913195	0.6328382858408176	0.2251914269245568	0.0	0.0	0.0	0.4143293074649358	0.5977152039689935	0.0	0.2252019157343118	0.0	0.1082959892466662	0.0004635307084096	0.2510108069721185	0.0	0.3214283518897418	0.0	0.0	0.237914213247896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0273652957540948	0.0	0.0168735215225864	0.0	0.0	0.0	0.0	0.1576604027210073	0.0	0.0648993689418825	2.661210459190562	0.0	0.0	0.2481780982868765
k__Bacteria|p__Firmicutes	51.89857272541104	36.40821744933984	53.77370635677924	43.9185385756785	29.728609019772232	45.649712279647126	54.36108817263802	34.146562280335715	59.56051192038159	47.60486937485204	50.16236654023533	36.87762578537485	16.59908778878896	32.08409013878741	39.73340601152125	50.83372663906327	54.68976577925461	28.47877115439329	41.88436225929831	52.40127594735344	39.135500568371015	40.37603533822583	45.55583746748458	55.71791033088653	50.46859144870644	41.5004413740582	53.05817776793846	46.34647273905469	47.52811199841001	29.225392059613945	40.2749340638989	56.05801632904711	48.64561215328405	54.91172304573022	44.665186971932826	41.554883851785455	24.538277557909364	22.17326424299976	41.10305786430035	47.23115202889482	30.935566377105932	26.407679447326707	36.73064048194744	59.24106085295577	55.210076953601394	25.404360871615875	53.46606463464273	60.19965982731934	42.90995574637352	34.406111547226295	35.50643108627308	68.55615572408686	47.39780454243949	45.99248553921345	65.23452813839116	44.97613576839667	55.86857055855226	54.113987459473975	46.56643360054159	42.25599209041206	47.7594145068518	29.44545123626673	48.065432135535104	52.36692166166333	34.73472364237613	15.692444809060376	31.04392140789265	48.46974373053727	41.40850907622123	34.85730112420872	42.75760743250379	52.39089581964215	47.091359526024846	40.31595480304986	39.76402206739693	35.46008545350593	44.6029038409358	45.86801915648685	41.09713807856249	47.11407217327412	23.18540810355871	46.29335023590803	31.677990418743278	43.90183373219391	39.748001441517495	30.328220878076586	43.52613257984598	48.61375974315674	38.18751430202968	45.10648939647458	38.83274194992768	56.97833837814141	50.654364674854286	49.65076600812476	39.02184288891093	45.2745429277241	28.152077464990963	31.039858026954075	39.47479278339348	43.18089518250554	48.71818838641196	36.41339029416017	42.36373641859138	35.21714788109727	44.72324259069424	33.583709543001845	55.774022025754505	47.81837507835721	52.65263144704258	50.93565292758107	31.12319433781276	48.49259352731426	38.87003784225805	26.861331091628557	35.146687108754165	39.77426286665271	53.853083796155786	34.829215505923365	16.835109045083435	30.05639780925925	40.16005573834821	21.149440486659184	37.51008368738912	50.83538009782373	39.872639631253136	29.226878538586345	23.755117833462613	32.270651418944055	51.92257269708592	24.983578846953485	21.80912308438984	52.83651359113785
k__Bacteria|p__Bacteroidota	28.424031285600798	42.96268914465957	27.828137011712087	32.31127945707492	56.29044891189938	27.729411865103145	33.90989288306975	35.75150377975368	22.021399863734544	35.946533078627915	32.21156949297307	43.892067840280674	64.8698400430495	51.003395990540334	44.78142019975811	31.568114178149163	19.08948205175211	48.18663673038357	41.62233616927863	24.808947488316097	40.15019931745057	47.27501857337428	29.31006046826937	22.36761293095484	29.676326909814943	36.01598125186399	26.40601182838523	34.42593102008776	31.16791025242863	51.17728990470285	37.38229168066361	30.3305693170629	26.131478668685425	27.51839314812274	34.163127742029594	38.76242224462429	61.86094922237579	62.24311053414392	39.94819654239051	35.63495978364877	53.661622450630105	60.69157325038757	42.13066188109677	19.69608802126312	22.954078499399813	60.08476599201514	23.72585022563313	22.224901244810265	34.784102820765185	46.100854476122045	45.84198136192944	13.748403268518098	35.624319152009214	35.22473601251438	19.566000028822717	39.09971621063688	26.068913585895487	29.92421684095256	18.53361962882363	46.893174294232566	32.14392694081058	52.16765849907146	31.88968500356922	34.51815814913057	50.42926736514791	75.97688751470488	50.39844261723626	34.55134327355595	39.17951036022674	50.428111925537465	35.75467960924031	25.271423829437456	33.38514585528884	41.41706802303592	43.41040312696454	47.54286937141583	38.34872659560168	39.81014275444423	42.07486598303175	40.48172482086184	64.53638543057878	40.05672420896171	37.06624601832907	35.90862654384328	48.93004414874327	60.586219024783176	36.94860817552165	25.46102214839813	45.99334918770052	37.2551469544528	32.725788301026654	23.74515481024661	34.835530024198015	25.390789103833807	46.03524425920974	39.54205176368304	52.17532421826058	40.9661967899085	40.83460987879152	44.1226092568241	36.78029666336658	44.51771599854068	39.69264067191929	44.643176024544566	37.62911475480837	51.32469326766298	26.02988338183255	27.203928107608576	23.70873299685976	29.03101681292722	43.30703037455128	32.036714697131124	40.80726340870954	54.109283855484335	43.6455262387784	39.853394588291614	25.14245419672108	55.22833614938342	64.3626356237085	54.964353542225794	42.355307262675815	61.31300667175265	45.27745115137146	39.23613949940481	33.33886313879175	39.02291813956925	61.73439468320313	48.23936731019926	25.151523271795632	59.93774749151606	63.75013938377592	23.859235594710405
k__Bacteria|p__Actinomycetota	4.829565029814892	1.7767967620429672	7.887288306332415	2.1506136118364823	1.413305381084319	0.6982340062209496	0.8420558761395245	0.2675540630596963	1.0294680815816677	0.8550925902593799	0.5615323900240178	1.69966825394753	0.2952351386822354	1.19311932195629	1.615407316796377	0.2936304054997719	3.649323761437438	3.9176871749811166	5.587921390201794	8.68479595621795	4.248006902332709	2.367356858222094	0.3973558982736954	3.193166887168919	1.880938376718296	2.1258914824722583	0.3450045882257047	0.9676274737890656	2.131699328457115	4.529967529390715	0.9695696900533284	1.3013694064294152	2.736323942545836	2.973728111188121	5.980079290736086	0.5461768165274593	0.1401669042512121	0.6604903579214269	2.1305832033535186	0.8744207463449247	0.3868237335572625	0.3623687730462419	5.938983334441532	3.659517589913315	6.109142675127946	1.0091057922362128	0.5587447578227578	1.3123483944908871	4.101980194985502	0.2323181827359203	2.3841109466872736	7.726565566726466	1.5877093990795983	0.4252408774318703	0.3430239062018491	0.3075906945466117	1.8401036689403791	1.379044575348511	1.2258225320599958	0.5013541186002622	5.841645985252407	1.303295047653951	1.031564369825927	1.3353619204823086	0.6297583021169786	0.351340548906045	3.3361808124194337	0.6721572353089623	0.0880320860458183	0.8399614235795683	3.18500463158916	5.820642284634273	1.2651889542217851	2.497017412456932	0.814369108700583	4.35515214707215	0.7670113640485872	5.4930952922004215	0.4935922895881645	0.4339574322416256	0.7054670362894817	0.6365383174215853	1.1030340951460118	3.888965289843088	3.446543767632082	1.3670154632147704	7.338985731256524	1.6808135375412765	2.9265142764827137	5.4000932967546325	11.35669124179541	1.3237110620047907	1.2391233620427733	3.567432345198173	0.6118680200488824	0.4250612461063288	4.436011748868227	1.221561642386099	0.5236345339614343	2.233051077784642	1.39442942388422	1.6275101740981162	0.4790496017148644	4.325930946751866	3.878508676808228	0.9604588420607376	1.6022469554268854	0.7199696245732166	1.600907913450687	6.061792474623751	7.172792662979835	0.9909658812793716	0.6006496675485511	2.2227714549880937	4.145310171275291	4.590407370665028	0.5252450740130549	0.971153521345314	0.25464008655712	0.5820167785331044	0.3534151342758252	1.413323862576551	0.6787709525797534	0.6606886397908496	8.99555490058636	1.6443741956735405	2.2375733880297	1.2576557078241628	1.0639857414485732	4.16860399833198	0.9941803100003636	1.008452887515758
k__Bacteria|p__Verrucomicrobiota	1.244362691237054	3.933805473926661	0.014937252043565	0.0	0.0	2.5636767221791863	0.6033761442521545	1.964908615773725	1.452281271416741	3.472157619870053	0.0	1.457784114881302	0.0	0.0	0.0	0.0	2.5277343125145277	0.0	0.0	0.0	0.0	0.0	0.033309017002177	1.699717067987781	0.3147118644593123	0.5770238695230706	2.0648430948143366	0.0	0.0004305810894222	0.0020986883625952	0.5672310244139691	0.6361360643362365	0.8435234656427868	0.5903180197094747	0.227369910205371	0.0045319907067803	0.0	0.0	0.1596525276794351	0.5154303350769103	0.0499212633649803	0.0	0.0	0.6835794773112415	0.0509526502049253	0.0	0.2171250925926485	1.8296247904608969	0.0	0.0	0.0	0.8574518147690134	0.1589875108334058	1.2595803440304918	2.533741122853614	0.0	0.1735814697431281	2.628318901399578	2.744782880034748	0.2369142200314181	0.0007132571915976	0.013785724730631	1.804976515501402	0.0	0.0	0.0	0.0040784606508795	0.2306771675456451	1.2224142225271162	0.1012313904583858	3.6968451380541976	1.5609222836605272	0.3928969564020039	0.0	0.0	0.0	0.8087157128403475	0.0	0.0910981168544367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0155471125289578	0.00119385697971	0.0	0.0888694580559916	2.435252870172148	0.0	1.3231118954429726	0.1087827430444102	0.0	2.30814667249919	0.0	3.0323022692199104	0.4775830390421288	0.1202891526210728	0.076825288888181	0.0969338181662713	0.0	2.568968586932508	0.0	1.8391381433432537	0.4230719499977404	2.872620414560245	0.0356381784453638	1.345009559429498	3.292169468199224	0.0011724198749422	0.0	0.0	0.0	1.6505997476129155	0.0	1.040386390518665	5.198818460155835	3.291074287429637	0.0	1.7612960864142777	0.56000708480032	0.1904884302572344	0.0651424950847832	0.0	7.013286412503299	0.0625365145414535	0.0	0.0	1.0930853860567404
k__Bacteria|p__Pseudomonadota	0.8391108129105479	4.713561573872488	1.0168450027508995	3.174898336467445	1.2656017629996676	9.768177696811035	3.0390556116056127	14.362789753585618	3.995432389379912	3.265026991242898	2.000652890505048	4.527001282119883	1.8594579725771736	2.2986111827893057	1.828291410745147	4.965364870515631	6.763127407718299	4.581324706462908	1.6137072457041717	5.161526136422118	1.91873689008206	0.9197470169697622	12.387554507902069	4.009012076432168	3.3411023259708785	3.883184393898907	1.3621657880745277	4.731352703555718	1.6643780795393743	8.091758815845166	0.7691701169537924	1.420322194171136	9.366171474623048	0.2822640087760932	2.469110839568543	5.219909129480404	0.649616994665142	1.2984238465959588	0.9110216159823916	3.22759798494639	4.816021540309254	1.972094848469448	0.8792955503175648	1.9090401478260115	1.2939665342307105	2.7928835277252317	9.615284197243907	2.491503852769367	1.8417653106180865	4.9162874538170005	5.444009978182622	0.2604458220796522	2.268650305634891	1.441017599018926	2.4042738912818367	0.0244262948027902	1.222489851846574	0.8779558003527356	0.908219000045374	0.3938449270179385	0.8714611159974095	2.214026804003954	1.3740492885864195	0.8692247644989338	1.268241819260035	1.508548494605419	3.20465045642857	3.2268551099724827	8.79762042527885	1.2182725721299092	2.690638295547025	1.6298589980932543	0.3280319737994016	2.627469530407007	1.5334352255867734	1.5376477908701949	3.9251972165703353	1.5892043468376742	4.205434695057638	1.9071690162521977	1.3586179329235164	1.3703217204094391	18.726059754097257	1.890604854399088	1.703586599045776	2.9295271227999256	1.405212910273094	16.736583217451056	2.738816443907542	1.7372212668573916	2.097577820415611	1.788437536756886	0.4100203077767354	7.904943787965837	3.338202297196517	4.372841340050927	5.253270428322691	8.876859324163462	4.714779375845092	1.5874932921319806	1.9315395080289053	1.3833950351309612	5.889935322049674	2.917129935958491	0.6032319970549507	1.3442795433359478	0.8415424302157766	9.635241310285648	5.295633664456741	2.22905057325714	2.3071246737764066	4.323144462818652	2.8053076557681265	4.564917777406682	6.791583633336844	1.8030580165934509	2.099778496865304	0.0506113646546982	2.296368112385791	1.7760625955281777	3.453717551280105	1.6880899865598311	2.0816098408585804	1.5647928404291591	1.50278527321124	0.6294879981811928	1.9797352198007876	0.963185050297367	3.133385980446924	2.297563470533034	0.9325982133255398	1.025376146772206
k__Bacteria|p__Thermodesulfobacteriota	0.5818420328420053	0.2265452806376956	0.4111708744340938	0.7751109172558018	0.1216832455216797	0.3886034690030546	0.2975162335920289	0.0	0.3029002241185458	0.4279006241620434	0.7652060641777951	0.5253886562410648	0.254629612619371	0.644841051759003	0.2880082189358811	0.3396902532408334	1.0598492047695764	0.5646805128303185	0.4279437514444724	0.060677847311358	0.174125327797925	0.3045078154289058	0.1843895294297069	0.2334546185702581	0.5964805353092093	0.2631011555701951	0.1879091197018627	0.3597729613773077	0.2493478528033013	0.2021643180928399	0.395893975216454	0.2598191230843268	0.4278439209468033	0.3570776225863793	0.5540475694065822	0.4002179412249614	0.4372110332341979	0.0044405326667575	0.1631817865810165	0.136793198510565	0.4079530290023053	0.521378058604139	0.1286102456618227	0.1241706052022968	0.216830781166135	0.0	0.4033292732048232	0.1271836351947415	0.0	0.3781089472722211	0.5339849312041076	0.5778963145365574	0.2686352745390107	0.390435143939116	0.1489293841432679	0.2623334646922616	0.0462901214335159	0.398441531311143	0.052519972928252	0.0112867933333043	0.1808106980700098	0.1496295193882785	0.3415945024925289	0.516849945766523	0.0560122195380379	0.9471926991849268	0.3952471681642552	0.1199679842519226	0.2448480849827422	0.3162635526980166	0.2873550089677414	0.4605587415215299	0.1425845417283819	0.3421763780990823	0.3696335089791535	0.2255728925973293	0.6181630452098286	0.2880128608568327	0.7018875261002081	0.470023137942761	0.1697350089990879	0.4307506991395088	0.1701413114075831	0.706944024046505	0.0	1.639022848698592	0.6624073993433678	0.6686470819742664	0.5431054376864277	0.0	0.4707734945159179	0.2726339742757774	0.2934415893722194	0.1558778169392885	0.2701235418172751	0.473386806431629	0.1884429864595075	0.8349869802837734	0.7365587434309296	0.6168085101150133	0.2194875951317522	0.3040621446905083	0.1451590797410249	0.2023880023265759	0.884347798520135	0.0	0.1102933628351114	0.1060530527723738	0.2502150966564594	0.4479872121658474	0.1979125428170207	0.2897757918717128	0.1944751467560497	0.1070814968353333	0.2173781827570504	0.1870409667203718	0.6875467935775229	0.2769373480401664	0.2589425869080184	1.038542219280005	0.9288905469379396	0.0346561123538455	0.2648212243213503	0.6032905683066089	0.3824028661853749	0.0974253394514657	0.0186182558141353	0.116570669196844	0.0	0.3779027961969804	0.2840893284999042	0.7777084196357155
k__Bacteria|p__Lentisphaerota	0.4101554393310466	0.0	0.0	2.876701375077614	0.0	0.1101898175308441	0.0137937556917018	0.1569368565154852	0.715805505173221	0.4381807677760366	0.0681746057469785	0.0	0.0	0.1029401475217025	0.0	0.2361162836962249	0.2563000593955633	0.0	0.0	0.0	0.0	0.0	0.1379958116796401	0.9700324452157524	0.0	0.3515085933200463	0.0	0.0	0.0	0.0	0.0220609860219904	0.3441668046518512	0.0	0.3165753198053109	0.1981124281647373	0.6294431537194953	0.0	0.0	0.0	0.3209259862413204	0.0438713055488922	0.0	0.1531053867776381	0.0645128242255363	0.1528837843059397	0.0	0.1086815406839344	0.0075005959838708	0.0	0.0	0.0	0.0382100887604314	0.0	0.8489759443912482	0.9741708815653978	0.3180189417871471	0.5748864698113464	0.2533096591724146	0.2422706930264876	0.0624975682090737	0.1598652917606538	0.0524954228866229	0.3283067520321447	0.0605606313143904	0.0	0.04183842051119	0.0160921871333615	0.0004492852986376	0.1424163931186213	0.0	0.0	0.5537377146244356	0.6368593132470869	0.1555673458657079	0.3080133048837915	0.0	0.1042117028650696	0.0	0.0001330676553526	0.0	0.0	0.0	0.0437597657415773	0.0	0.0	0.0	0.0492391209245609	0.0	0.0338259477584512	0.0	0.0162530575631405	0.0226297661155139	0.0046853424636399	0.5749428344358537	0.0572066599032716	0.0	0.0092255171863554	0.6153229543906082	2.369584093899233	0.0	0.1052462487004546	0.0263422680278644	0.0060459258959899	0.1398638318658053	0.0	0.0	0.0546052207956725	0.0	0.0553439346731925	0.0	0.2893788178583604	0.1527187010215366	0.0483881820444925	0.0	0.0	0.0	0.0	0.0	0.039427973863395	0.0	0.3622571145232248	0.0	0.0133164539110212	0.2391116452057144	2.122760684169589	0.0	0.0	0.0	1.3977707479863175	0.0	0.0	0.0
