#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/haig/miniconda3/envs/metagenomics/bin/metaphlan /mnt/b/CMR_v1/SG_datasets/SG_80_Mouzan/host_removed_fastqs/SRR15595273_1.fq.gz,/mnt/b/CMR_v1/SG_datasets/SG_80_Mouzan/host_removed_fastqs/SRR15595273_2.fq.gz --input_type fastq --nproc 26 -o /mnt/b/CMR_v1/SG_datasets/SG_80_Mouzan/metaphlan_outputs/SRR15595273_profile.txt --bowtie2db /home/haig/miniconda3/envs/metagenomics/lib/python3.9/site-packages/metaphlan/metaphlan_databases --index mpa_vJun23_CHOCOPhlAnSGB_202403 --bowtie2out /mnt/b/CMR_v1/SG_datasets/SG_80_Mouzan/metaphlan_outputs/SRR15595273_bowtie2.sam
#15723291 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.96747	
k__Eukaryota	2759	0.03253	
k__Bacteria|p__Firmicutes	2|1239	79.34472	
k__Bacteria|p__Actinobacteria	2|201174	13.84723	
k__Bacteria|p__Bacteroidota	2|976	3.4246	
k__Bacteria|p__Proteobacteria	2|1224	2.58641	
k__Bacteria|p__Verrucomicrobia	2|74201	0.76452	
k__Eukaryota|p__Ascomycota	2759|4890	0.03253	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	73.33656	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	11.10883	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	3.4246	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.7384	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	2.34755	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.05813	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.94963	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.92348	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.76452	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.4476	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.23886	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.22623	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.1533	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.08864	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.06831	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.04704	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	0.03253	
k__Bacteria|p__Firmicutes|c__CFGB1779	2|1239|	0.02846	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.00642	
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.00381	
k__Bacteria|p__Firmicutes|c__CFGB1201	2|1239|	0.00363	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00254	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.00092	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	73.33271	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	10.98335	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.4246	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.57769	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	2.33667	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	2.05813	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.94963	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.92348	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.76452	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	0.4476	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.23886	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.22623	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.16071	
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069	2|1239||	0.1533	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.10768	
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	2|1239||	0.08864	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	0.06831	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.04704	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	2759|4890|4891|4892	0.03253	
k__Bacteria|p__Firmicutes|c__CFGB1779|o__OFGB1779	2|1239||	0.02846	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.01088	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	0.00973	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	0.00806	
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.00642	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.00385	
k__Bacteria|p__Firmicutes|c__CFGB1311|o__OFGB1311	2|1239||	0.00381	
k__Bacteria|p__Firmicutes|c__CFGB1201|o__OFGB1201	2|1239||	0.00363	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.00254	
k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217	2|1239||	0.00092	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	43.40759	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	10.98335	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	10.94126	
