#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/haig/miniconda3/envs/metagenomics/bin/metaphlan /mnt/b/CMR_v1/SG_datasets/SG_80_Mouzan/host_removed_fastqs/SRR15595269_1.fq.gz,/mnt/b/CMR_v1/SG_datasets/SG_80_Mouzan/host_removed_fastqs/SRR15595269_2.fq.gz --input_type fastq --nproc 26 -o /mnt/b/CMR_v1/SG_datasets/SG_80_Mouzan/metaphlan_outputs/SRR15595269_profile.txt --bowtie2db /home/haig/miniconda3/envs/metagenomics/lib/python3.9/site-packages/metaphlan/metaphlan_databases --index mpa_vJun23_CHOCOPhlAnSGB_202403 --bowtie2out /mnt/b/CMR_v1/SG_datasets/SG_80_Mouzan/metaphlan_outputs/SRR15595269_bowtie2.sam
#23733009 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.94776	
k__Eukaryota	2759	0.05224	
k__Bacteria|p__Actinobacteria	2|201174	52.73393	
k__Bacteria|p__Firmicutes	2|1239	45.1693	
k__Bacteria|p__Bacteroidota	2|976	1.96038	
k__Bacteria|p__Proteobacteria	2|1224	0.06948	
k__Eukaryota|p__Ascomycota	2759|4890	0.05224	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.01468	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	49.60085	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	37.28531	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	5.80921	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.13308	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	1.96038	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.04883	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.82659	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.11765	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.06346	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	0.05224	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.0486	
k__Bacteria|p__Firmicutes|c__CFGB45628	2|1239|	0.02738	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.01468	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00602	
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.00572	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	49.45657	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	36.13549	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	5.80921	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	3.13179	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	1.96038	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	1.14982	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.04611	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.82659	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.13247	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.11765	
