#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/haig/miniconda3/envs/metagenomics/bin/metaphlan /mnt/b/CMR_v1/SG_datasets/SG_80_Mouzan/host_removed_fastqs/SRR15595253_1.fq.gz,/mnt/b/CMR_v1/SG_datasets/SG_80_Mouzan/host_removed_fastqs/SRR15595253_2.fq.gz --input_type fastq --nproc 26 -o /mnt/b/CMR_v1/SG_datasets/SG_80_Mouzan/metaphlan_outputs/SRR15595253_profile.txt --bowtie2db /home/haig/miniconda3/envs/metagenomics/lib/python3.9/site-packages/metaphlan/metaphlan_databases --index mpa_vJun23_CHOCOPhlAnSGB_202403 --bowtie2out /mnt/b/CMR_v1/SG_datasets/SG_80_Mouzan/metaphlan_outputs/SRR15595253_bowtie2.sam
#51108708 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.92392	
k__Eukaryota	2759	0.07608	
k__Bacteria|p__Actinobacteria	2|201174	50.70366	
k__Bacteria|p__Firmicutes	2|1239	47.94111	
k__Bacteria|p__Proteobacteria	2|1224	1.00314	
k__Bacteria|p__Bacteroidota	2|976	0.20627	
k__Eukaryota|p__Ascomycota	2759|4890	0.07608	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.06975	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	50.32623	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	39.35312	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	4.12439	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.30367	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.00314	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.4923	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.42128	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.37743	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	0.19292	
k__Bacteria|p__Firmicutes|c__CFGB79245	2|1239|	0.11502	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	0.07608	
k__Bacteria|p__Firmicutes|c__CFGB72939	2|1239|	0.0587	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.05369	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.04281	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.02147	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia	2|95818|2093818	0.01606	
k__Bacteria|p__Bacteroidota|c__CFGB618	2|976|	0.01335	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.00834	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	49.73206	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	39.33737	
