#mpa_vJan25_CHOCOPhlAnSGB_202503
#clade_name	relative_abundance
UNCLASSIFIED	29.06571
d__Bacteria	70.93423250829333
d__Bacteria;p__Bacillota_A	64.01606093118498
d__Bacteria;p__Bacteroidota	4.361160691733692
d__Bacteria;p__Actinomycetota	2.052724836197865
d__Bacteria;p__Verrucomicrobiota	0.27419649511800404
d__Bacteria;p__Bacillota_I	0.1532889990816212
d__Bacteria;p__Bacillota_C	0.03526143518902077
d__Bacteria;p__Bacillota	0.02272734627753421
d__Bacteria;p__Cyanobacteriota	0.008377339561101092
d__Bacteria;p__Desulfobacterota	0.00782405210490644
d__Bacteria;p__Pseudomonadota	0.0023124578297366266
d__Bacteria;p__Bacillota_B	0.000297924014874044
d__Bacteria;p__Bacillota_A;c__Clostridia	64.01606093118498
d__Bacteria;p__Bacteroidota;c__Bacteroidia	4.361160691733692
d__Bacteria;p__Actinomycetota;c__Coriobacteriia	1.3351180989423255
d__Bacteria;p__Actinomycetota;c__Actinomycetes	0.7176067372555395
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.27419649511800404
d__Bacteria;p__Bacillota_I;c__Bacilli_A	0.1532889990816212
d__Bacteria;p__Bacillota_C;c__Negativicutes	0.03526143518902077
d__Bacteria;p__Bacillota;c__Bacilli	0.02272734627753421
d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia	0.008377339561101092
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0.00782405210490644
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	0.0023124578297366266
d__Bacteria;p__Bacillota_B;c__Dehalobacteriia	0.000297924014874044
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales	54.98153646041638
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales	7.963218086997245
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	4.361160691733692
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales	1.3351180989423255
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales	0.7176067372555395
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	0.880642107680897
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	0.27419649511800404
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales	0.1532889990816212
d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381	0.13283864348919575
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales	0.03526143518902077
