Dataset_ID	Num_SGBs
SG_118_Leonard	105.0
SG_118_Leonard	94.0
SG_118_Leonard	98.0
SG_118_Leonard	146.0
SG_118_Leonard	227.0
SG_118_Leonard	124.0
SG_118_Leonard	129.0
SG_118_Leonard	52.0
SG_118_Leonard	123.0
SG_118_Leonard	78.0
SG_118_Leonard	65.0
SG_118_Leonard	49.0
SG_118_Leonard	46.0
SG_118_Leonard	40.0
SG_118_Leonard	100.0
SG_118_Leonard	101.0
SG_118_Leonard	97.0
SG_118_Leonard	93.0
SG_118_Leonard	94.0
SG_118_Leonard	77.0
SG_118_Leonard	48.0
SG_118_Leonard	56.0
SG_132_Francavilla	364.0
SG_132_Francavilla	278.0
SG_132_Francavilla	219.0
SG_132_Francavilla	302.0
SG_132_Francavilla	215.0
SG_132_Francavilla	372.0
SG_132_Francavilla	281.0
SG_132_Francavilla	220.0
SG_132_Francavilla	315.0
SG_132_Francavilla	354.0
SG_132_Francavilla	382.0
SG_132_Francavilla	354.0
SG_132_Francavilla	160.0
SG_132_Francavilla	291.0
SG_132_Francavilla	213.0
SG_132_Francavilla	300.0
SG_132_Francavilla	331.0
SG_132_Francavilla	324.0
SG_132_Francavilla	226.0
SG_132_Francavilla	229.0
SG_132_Francavilla	174.0
SG_132_Francavilla	248.0
SG_132_Francavilla	258.0
SG_132_Francavilla	466.0
SG_132_Francavilla	525.0
SG_132_Francavilla	271.0
SG_132_Francavilla	430.0
SG_132_Francavilla	399.0
SG_132_Francavilla	209.0
SG_132_Francavilla	181.0
SG_132_Francavilla	256.0
SG_132_Francavilla	373.0
SG_132_Francavilla	235.0
SG_132_Francavilla	446.0
SG_132_Francavilla	372.0
SG_132_Francavilla	317.0
SG_132_Francavilla	369.0
SG_132_Francavilla	397.0
SG_132_Francavilla	95.0
SG_132_Francavilla	210.0
SG_132_Francavilla	176.0
SG_132_Francavilla	482.0
SG_132_Francavilla	337.0
SG_132_Francavilla	207.0
SG_132_Francavilla	400.0
SG_132_Francavilla	469.0
SG_132_Francavilla	321.0
SG_132_Francavilla	322.0
SG_132_Francavilla	131.0
SG_132_Francavilla	351.0
SG_132_Francavilla	300.0
SG_132_Francavilla	221.0
SG_132_Francavilla	250.0
SG_132_Francavilla	187.0
SG_132_Francavilla	427.0
SG_132_Francavilla	289.0
SG_132_Francavilla	335.0
SG_132_Francavilla	456.0
SG_132_Francavilla	212.0
SG_132_Francavilla	427.0
SG_132_Francavilla	408.0
SG_132_Francavilla	342.0
SG_132_Francavilla	291.0
SG_132_Francavilla	401.0
SG_132_Francavilla	356.0
SG_132_Francavilla	335.0
SG_132_Francavilla	319.0
SG_132_Francavilla	340.0
SG_132_Francavilla	372.0
SG_132_Francavilla	432.0
SG_132_Francavilla	349.0
SG_132_Francavilla	300.0
SG_132_Francavilla	281.0
SG_132_Francavilla	399.0
SG_132_Francavilla	228.0
SG_132_Francavilla	249.0
SG_132_Francavilla	334.0
SG_132_Francavilla	198.0
SG_132_Francavilla	282.0
SG_132_Francavilla	241.0
SG_132_Francavilla	289.0
SG_132_Francavilla	207.0
SG_132_Francavilla	198.0
SG_132_Francavilla	86.0
SG_132_Francavilla	270.0
SG_132_Francavilla	336.0
SG_132_Francavilla	292.0
SG_132_Francavilla	190.0
SG_132_Francavilla	319.0
SG_132_Francavilla	393.0
SG_132_Francavilla	409.0
SG_132_Francavilla	320.0
SG_132_Francavilla	221.0
SG_132_Francavilla	254.0
SG_132_Francavilla	201.0
SG_132_Francavilla	231.0
SG_132_Francavilla	286.0
SG_132_Francavilla	391.0
SG_132_Francavilla	244.0
SG_132_Francavilla	294.0
SG_132_Francavilla	257.0
SG_132_Francavilla	376.0
SG_132_Francavilla	229.0
SG_132_Francavilla	292.0
SG_132_Francavilla	141.0
SG_132_Francavilla	403.0
SG_132_Francavilla	315.0
SG_132_Francavilla	302.0
SG_132_Francavilla	232.0
SG_132_Francavilla	199.0
SG_132_Francavilla	298.0
SG_132_Francavilla	307.0
SG_132_Francavilla	275.0
SG_132_Francavilla	184.0
SG_132_Francavilla	219.0
SG_132_Francavilla	271.0
SG_132_Francavilla	251.0
SG_132_Francavilla	92.0
SG_132_Francavilla	160.0
SG_132_Francavilla	122.0
SG_132_Francavilla	332.0
SG_132_Francavilla	101.0
SG_132_Francavilla	314.0
SG_132_Francavilla	394.0
SG_132_Francavilla	304.0
SG_132_Francavilla	179.0
SG_132_Francavilla	163.0
SG_132_Francavilla	255.0
SG_132_Francavilla	298.0
SG_132_Francavilla	145.0
SG_132_Francavilla	155.0
SG_132_Francavilla	416.0
SG_80_Mouzan_Stool	188.0
SG_80_Mouzan_Stool	268.0
SG_80_Mouzan_Stool	248.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Stool	185.0
SG_80_Mouzan_Stool	230.0
SG_80_Mouzan_Stool	139.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Stool	185.0
SG_80_Mouzan_Stool	177.0
SG_80_Mouzan_Stool	104.0
SG_80_Mouzan_Stool	193.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Stool	317.0
SG_80_Mouzan_Stool	88.0
SG_80_Mouzan_Stool	138.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Stool	101.0
SG_80_Mouzan_Stool	150.0
SG_80_Mouzan_Stool	134.0
SG_80_Mouzan_Stool	216.0
SG_80_Mouzan_Stool	166.0
SG_80_Mouzan_Stool	192.0
SG_80_Mouzan_Stool	135.0
SG_80_Mouzan_Stool	331.0
SG_80_Mouzan_Stool	123.0
SG_80_Mouzan_Stool	264.0
SG_80_Mouzan_Stool	258.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Stool	159.0
SG_80_Mouzan_Duodenal	5.0
SG_80_Mouzan_Stool	172.0
SG_80_Mouzan_Stool	154.0
SG_80_Mouzan_Stool	206.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Stool	316.0
SG_80_Mouzan_Stool	203.0
SG_80_Mouzan_Stool	255.0
SG_80_Mouzan_Stool	133.0
SG_80_Mouzan_Stool	61.0
SG_80_Mouzan_Stool	154.0
SG_80_Mouzan_Stool	229.0
SG_80_Mouzan_Stool	141.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Stool	102.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	2.0
