Dataset_ID	Filtered_Percent_Reads_Remaining_Min	Filtered_Percent_Reads_Remaining_Mean	Filtered_Percent_Reads_Remaining_Median	Filtered_Percent_Reads_Remaining_Max	Filtered_Percent_Reads_Remaining_SD	DenoisedF_Percent_Reads_Remaining_Min	DenoisedF_Percent_Reads_Remaining_Mean	DenoisedF_Percent_Reads_Remaining_Median	DenoisedF_Percent_Reads_Remaining_Max	DenoisedF_Percent_Reads_Remaining_SD	Nonchim_Percent_Reads_Remaining_Min	Nonchim_Percent_Reads_Remaining_Mean	Nonchim_Percent_Reads_Remaining_Median	Nonchim_Percent_Reads_Remaining_Max	Nonchim_Percent_Reads_Remaining_SD
16S_102_Bodkhe	88.64939281711642	92.57897914392632	93.15003979348235	97.87778979039382	2.2610628142942084	48.47309743092584	84.77135264339748	85.80721887992969	91.35074358899708	5.786805224045792	15.870397841081472	29.3110861142761	28.827514597022248	45.06866957247262	6.719679292283543
16S_119_Salamon	23.957434570031637	58.16423435577188	62.87460836398311	66.82926017180529	11.819731795041635	21.507046304285304	56.983631696344155	61.835535138528265	66.1467004062063	12.014516928701324	8.42459559931679	37.874763579797076	40.8178266896291	52.7555346208196	10.822845444029623
16S_1211_Milletich	15.399870914745057	69.19324545846054	76.55777553803284	88.66697049105618	16.831664201467717	15.034911693950596	68.23162590321854	75.37689369475763	87.67687323649284	16.520620614904452	13.740384615384615	54.792127693329284	57.317799831514925	84.87488450151798	13.628836502464443
16S_136_Nobel	58.33945901685106	66.7870389181904	66.8292139727879	72.41642997596679	2.458265771060517	56.16031993671582	63.50182149406649	63.530953164747444	70.1824339086738	2.9324618455536378	22.331786542923435	36.82773237055102	37.18691600491415	43.52169602684359	3.892494977003844
16S_179_Verdu	91.59994749967187	97.8174668706997	98.13879140867584	99.32578298847521	1.2285952598131669	77.70838989953842	96.19021851395863	96.8410155287158	99.01856587731244	2.8148328235316744	15.607835008809204	81.31740567444675	87.5251381609159	97.38135082669523	16.698971668951348
16S_20_Caminero	90.47003886106376	96.88674634338906	98.05826563584921	99.23542066399209	2.5797531677741734	88.37874183335275	96.23971039177215	97.8752025479242	98.90545961974534	3.1026228396753965	0.0	83.52127223427202	87.1146719806238	98.41520825097928	22.093226049965157
16S_20_Rawson	57.250680524622624	66.53912018430061	67.62892739096685	74.64302827024437	5.185616059178422	50.58772581044296	61.94357944935513	62.854007653588	70.16770483948251	5.552756067722401	14.783478633700156	22.456108387246978	20.395262394170906	40.20681265206812	6.225773061427737
16S_227_Oscarsson	9.989411867440946	45.789469489652376	47.523044960364686	62.186196584559696	8.500450806328795	9.489477361044404	44.652278739559854	46.04646863059288	60.62144224967866	8.429678498926679	3.19772518883989	14.218395660133439	13.79037243084531	31.664072788219798	5.3922263591129305
16S_24_Giacomin	37.669365101431914	45.421479564892955	46.395174185076385	49.78778017142596	3.3391724887270446	37.20596150898468	45.164351877434164	46.30859864615327	49.695802967105166	3.3900344631686288	21.88369995686782	34.01955901330648	33.6771724041113	45.99091593819186	6.189092719323757
16S_25_Francavilla	39.58202716823406	51.48254104391835	50.1197474417592	66.54423018059383	6.317190030342891	35.03649635036496	49.31330367885812	47.514333405907536	66.05448423630241	7.528746354856244	35.03649635036496	45.493345165738546	42.92038609478192	66.05448423630241	7.209407624713541
16S_27_Federica	42.9430689606938	77.68694815577567	79.28500932119749	80.70750263786304	7.06563564933802	40.08952301021122	76.68275504469793	78.30740437478067	80.05220192147499	7.460430511474278	30.083461556394838	45.68225688594842	47.68208399787347	51.35456772838643	5.675739566966957
16S_27_Fornasaro	62.644821654334805	77.07252913427601	77.27306508910921	84.47109230085952	5.360186431651717	62.43341830918776	76.80255981011605	77.08726607904633	84.22725570621174	5.349731213310848	62.35880536384174	76.58249847416957	76.94605883139855	84.12014177356288	5.2960873086209626
16S_39_Olivares	43.183101773410144	75.76335297056269	76.7529298828047	86.1938044697558	8.419330267479275	42.46018298881735	75.23540911434891	76.30942788074134	85.89179394253172	8.436121744612604	38.65356376369593	72.74212202912864	73.76183138895003	83.11227349150009	8.815609823799575
16S_49_Turjeman	92.01070525846261	94.50555769878451	94.5293607701784	96.6713429409514	1.0502099668781766	90.59287183002056	93.78362013910264	93.91819160387513	96.23772478000255	1.2239201426845032	89.72996901283754	93.24399650725941	93.5053125299129	96.23772478000255	1.4820884168578257
16S_50_Bibbo	84.96183367517392	92.20768871703027	92.32966316806888	93.65478807512824	1.277639261997553	83.64662846510055	91.12229256785118	91.32969482137403	92.72478513185925	1.3631399420365917	33.9197373896158	50.3982848819464	50.1607243416756	62.622720897615714	5.635670587005065
16S_56_Laffaldano	3.781430668991465	10.744775234004994	10.5789256395289	18.539403802242997	3.710756763463265	3.6317335046343033	10.33161832357857	10.157428241836769	17.994424049754635	3.633591061486652	1.8937732055975012	5.378769920996744	4.745465981599412	13.12431597244576	2.407813547809509
16S_5_Senicar	23.327197422917624	45.567689102043815	58.187151657377534	61.35552603474773	19.607994419740237	21.75563736769443	41.93256691760827	53.67556468172484	56.06507526227763	18.002789886529207	8.597890978072867	18.905836562113546	24.713395164968833	26.28220155765674	8.916817556158712
16S_60_Shi	89.47144153991515	93.56102944886135	93.82278524201759	94.45048099211868	0.8010828218063232	87.68858340898284	91.45097503750794	91.56855849547198	93.29649802624817	0.9537706236117907	24.05298581393686	34.70540583174038	35.2762136135535	41.437218846635304	3.9323055636717763
16S_62_Tian	95.93382440299393	97.89959383207434	98.00147052606005	98.62070305920157	0.48191116007103113	90.09742188428181	95.36294942913216	95.85225098576002	97.82809901797759	1.6856201601065495	16.161014024409376	57.114652688856054	60.36249078765985	84.05929464662077	12.807915194916834
16S_68_Girdhar	63.40481903619276	77.738054227176	79.13142356114382	84.45656891313783	4.516689467538851	62.070085982803434	75.22535709792497	76.31360291963763	82.20563911220525	4.381537982511146	36.637672465506895	50.71553261707445	49.88707892247115	67.02888390353337	6.060772237554971
16S_80_Garcia	98.33449728059594	98.6482874455597	98.66239897690781	98.85837909801964	0.11342047844546078	96.27887852388662	97.30853361832436	97.28448435594962	98.50042522041488	0.4293517765372448	59.461349233086914	72.38921769120046	73.53328925624217	90.77540826542366	6.130282187635091
16S_96_Quagliariello	6.87593423019432	47.558688663207505	48.203026377075396	55.54843618597574	6.60523936809189	0.7473841554559043	46.54226783134295	47.57414028921269	54.34379193193822	6.985012220883511	0.0	29.419871563652265	29.89478084846438	39.6423658872077	5.386942865077236
16S_99_Lionetti	46.66998630648575	80.88421529179794	81.33082387226034	84.55149032349202	4.085866089276968	45.3006348811154	79.33936310120173	79.72517246687096	83.82963695437209	4.0277428120777135	34.99066351300884	53.92265754540738	54.115626788780766	62.943918632575226	4.697407791883267
Overall	3.781430668991465	72.19559701279813	77.27306508910921	99.32578298847521	5.374672371295971	0.7473841554559043	70.35270184437837	76.31360291963763	99.01856587731244	5.7393841625629936	0.0	47.870995612721366	47.68208399787347	98.41520825097928	7.657304623792769
