Dataset_ID	Percent_Genus	Percent_Species
16S_102_Bodkhe	35.70880245649949	0.0
16S_119_Salamon	87.928007023705	0.9657594381035997
16S_1211_Milletich	68.83522916250915	0.019956096587507483
16S_136_Nobel	77.81794446954862	0.6577295777476528
16S_179_Verdu	60.49674748669427	10.210920559826532
16S_20_Caminero	54.247572815533985	12.864077669902912
16S_20_Rawson	86.80167597765363	0.8379888268156425
16S_227_Oscarsson	83.4464302781229	0.19114976584153684
16S_24_Giacomin	85.06056527590849	16.1507402422611
16S_25_Francavilla	93.73134328358209	0.0
16S_27_Federica	95.38461538461539	0.08097165991902834
16S_27_Fornasaro	77.21518987341773	13.291139240506327
16S_39_Olivares	95.48494983277592	26.755852842809364
16S_49_Turjeman	78.88412017167383	16.995708154506435
16S_50_Bibbo	70.60420909708078	0.2715546503733876
16S_56_Laffaldano	81.57582938388626	2.4881516587677726
16S_5_Senicar	88.90020366598777	0.20366598778004072
16S_60_Shi	81.18555550595903	0.10266482167566844
16S_62_Tian	61.72816952868104	4.01899890390939
16S_68_Girdhar	74.94929006085192	13.793103448275861
16S_80_Garcia	80.44648196133147	0.07972892166633447
16S_96_Quagliariello	86.91408235892222	0.498220640569395
16S_99_Lionetti	90.96318073638527	0.7419851602967941
