#mpa_vJan25_CHOCOPhlAnSGB_202503
#clade_name	relative_abundance
UNCLASSIFIED	11.62472
d__Bacteria	88.31858620470723
d__Archaea	0.056719254027639845
d__Bacteria;p__Bacteroidota	41.617730548961006
d__Bacteria;p__Bacillota_A	39.28360686907472
d__Bacteria;p__Cyanobacteriota	4.645844226559696
d__Bacteria;p__Pseudomonadota	1.4023389263175274
d__Bacteria;p__Desulfobacterota	0.33293618837383543
d__Bacteria;p__Bacillota_C	0.3202454983171681
d__Bacteria;p__Verrucomicrobiota	0.4396139875897346
d__Bacteria;p__Actinomycetota	0.0704881224874502
d__Bacteria;p__Synergistota	0.06565399472909572
d__Archaea;p__Methanobacteriota	0.056719254027639845
d__Bacteria;p__Bacillota_I	0.09494156217185024
d__Bacteria;p__Bacillota_G	0.01611965087977798
d__Bacteria;p__Bacillota_B	0.015881037626623372
d__Bacteria;p__Bacillota	0.013185591618765759
d__Bacteria;p__Bacteroidota;c__Bacteroidia	41.617730548961006
d__Bacteria;p__Bacillota_A;c__Clostridia	39.28360686907472
d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia	4.645844226559696
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria	0.46407626480202924
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	0.9382626615154981
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0.33293618837383543
d__Bacteria;p__Bacillota_C;c__Negativicutes	0.3202454983171681
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria	0.40670303371018784
d__Bacteria;p__Actinomycetota;c__Coriobacteriia	0.06709451177591799
d__Bacteria;p__Synergistota;c__Synergistia	0.06565399472909572
d__Archaea;p__Methanobacteriota;c__Methanobacteria	0.056719254027639845
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.03291095387954671
d__Bacteria;p__Bacillota_I;c__Bacilli_A	0.09494156217185024
d__Bacteria;p__Bacillota_G;c__DTU025	0.01611965087977798
d__Bacteria;p__Bacillota_B;c__Peptococcia	0.013194429146660375
d__Bacteria;p__Bacillota;c__Bacilli	0.013185591618765759
d__Bacteria;p__Actinomycetota;c__Actinomycetes	0.0033936107115322064
