#mpa_vJan25_CHOCOPhlAnSGB_202503
#clade_name	relative_abundance
UNCLASSIFIED	8.8422
d__Bacteria	91.15778012917028
d__Bacteria;p__Bacteroidota	67.36567679903828
d__Bacteria;p__Bacillota_A	19.877851278981097
d__Bacteria;p__Bacillota_C	1.5994182669180235
d__Bacteria;p__Pseudomonadota	0.9498186800196258
d__Bacteria;p__Desulfobacterota	0.7453243909570002
d__Bacteria;p__Bacillota_G	0.18887895820343245
d__Bacteria;p__Actinomycetota	0.18080237726867177
d__Bacteria;p__Bacillota_I	0.08723801303121854
d__Bacteria;p__Bacillota	0.0633273225211991
d__Bacteria;p__Verrucomicrobiota	0.04235191311839513
d__Bacteria;p__Synergistota	0.034266216403798386
d__Bacteria;p__Cyanobacteriota	0.015970846272799887
d__Bacteria;p__Bacillota_B	0.0068550664367268924
d__Bacteria;p__Bacteroidota;c__Bacteroidia	67.36567679903828
d__Bacteria;p__Bacillota_A;c__Clostridia	19.877851278981097
d__Bacteria;p__Bacillota_C;c__Negativicutes	1.5994182669180235
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	0.9356892212737127
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0.7453243909570002
d__Bacteria;p__Bacillota_G;c__DTU025	0.18887895820343245
d__Bacteria;p__Actinomycetota;c__Actinomycetes	0.15208767078504185
d__Bacteria;p__Bacillota_I;c__Bacilli_A	0.08723801303121854
d__Bacteria;p__Bacillota;c__Bacilli	0.0633273225211991
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria	0.04235191311839513
d__Bacteria;p__Synergistota;c__Synergistia	0.034266216403798386
d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia	0.015970846272799887
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria	0.014129458745913141
d__Bacteria;p__Actinomycetota;c__Coriobacteriia	0.028714706483629934
d__Bacteria;p__Bacillota_B;c__Dehalobacteriia	0.0068550664367268924
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	67.36567679903828
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales	15.153826273432172
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales	1.5919615590121157
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales	3.9064307120515416
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales	0.9003291112895855
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales	0.7453243909570002
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	0.4140751832737797
d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77	0.2862537184123642
d__Bacteria;p__Bacillota_G;c__DTU025;o__DTUO25	0.18887895820343245
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales	0.15208767078504185
