#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	ERR12025098	ERR12025082	ERR12025102	ERR12025087	ERR12025096	ERR12025073	ERR12025108	ERR12025099	ERR12025089	ERR12025097	ERR12025080	ERR12025103	ERR12025104	ERR12025078	ERR12025075	ERR12025094	ERR12025095	ERR12025105	ERR12025083	ERR12025076	ERR12025079	ERR12025093	ERR12025092	ERR12025107	ERR12025074	ERR12025100	ERR12025101	ERR12025090	ERR12025110	ERR12025111	ERR12025091	ERR12025088	ERR12025084	ERR12025085	ERR12025081	ERR12025077	ERR12025109	ERR12025106	ERR12025086
UNCLASSIFIED	11.62472	12.83632	32.30653	12.94186	11.11564	5.60048	9.92383	8.48128	16.84602	8.75086	10.33262	13.66062	10.39997	7.52088	8.68181	14.39038	8.70513	5.76693	12.86889	11.70452	12.51363	11.67289	31.37446	6.76887	7.74112	19.3258	15.48753	14.06591	5.26683	8.8422	7.03584	14.73384	6.00882	4.86574	20.2493	13.12837	4.6063	8.17796	3.62029
k__Bacteria	88.31855969212357	87.16368342016862	67.62447087074032	87.05814212874353	88.88435714165534	94.3976040671982	90.01163939957235	91.51872101846142	83.05114048049559	91.24914076722987	89.66062121485409	86.33938410511676	89.6000268968895	92.47911522049893	91.31819099306044	85.6096163054546	91.29486665049454	94.23307135749842	86.98187987105969	88.23468955631881	87.48637122576287	88.32711451152036	68.48715974303288	93.23112704387472	92.25887686803898	80.67420372582387	84.50010272419239	85.93408959564941	94.73317098713795	91.15779836072994	92.96415501465869	85.26616313759027	93.9911832148221	95.09762523908212	79.7507039691863	86.87162566992407	95.38854986490378	91.82204307837289	96.36900257672926
k__Archaea	0.0567192540276398	0.0	0.0689999548124859	0.0	0.0	0.0019163102636624	0.0	0.0	0.0251540780436665	0.0	0.0067609206130142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0607914386650463	0.0	0.0	0.1383765313436528	0.0	0.0	0.0	0.0123641739071919	0.0	0.0	0.0	0.0	0.0	0.0	0.0366362040817624	0.0	0.0	0.0051512598607372	0.0	0.0
k__Bacteria|p__Bacteroidota	41.61770403637731	66.3143395389045	50.90896950521615	25.62920316593664	54.520038086955694	52.0464014840465	47.78952464885212	47.71375194845206	25.769633673835266	43.80531801431052	38.30604911608297	53.00486168018614	65.10490274373716	50.70356149358903	35.37036623553309	45.64639678098447	35.40912485729423	66.84713154603932	40.40427246568803	59.05767742977698	69.53025720944254	63.22757818737403	8.26624779660826	40.851474507548176	15.15008849535591	43.91589828181358	34.99175307565639	69.19854595462212	47.77492335379194	67.36568591481812	73.63808783187982	39.56839397360599	55.6389362237812	58.06512036442592	47.829017292566455	51.22902293799809	69.9976656727459	14.87226021993082	48.97526307899073
k__Bacteria|p__Firmicutes	39.72065797357502	17.28159485698315	15.751045409284195	58.00065897229067	21.63051495125753	37.92288332243681	29.80644784798316	42.48892986176389	52.60213316633613	44.91254421329417	44.04803443220081	29.244902085900385	20.29734497302769	29.57359107528312	49.59417898280317	36.27020901820868	15.374247263163246	26.508328371292453	38.54128736483071	26.71171400168088	16.38913687265857	21.25565512585384	54.00505106006855	19.588922626766383	74.40675651641037	34.5361264349621	46.85867253011333	14.74897951161778	42.302728044939606	21.809402984226445	16.619880630302138	41.72782776799596	35.52912781200051	32.091136201036825	30.218626343498677	35.400743438898346	22.892523159700318	70.74346669134468	32.74594147886706
k__Bacteria|p__Candidatus_Melainabacteria	4.645835389031801	1.4402839884665244	0.0	0.858001519749832	6.675508539716883	0.0	5.59211779155406	0.0	0.3050836262294482	0.0	0.0262008090599834	0.0	0.4543348563860576	0.0	0.0	0.7176996573351481	0.0	0.0	5.1098126192993565	0.0	0.0	0.0	0.0	0.0	0.0	0.0014198659855745	0.0	0.0	0.0	0.0159708462727998	0.0	0.0	0.0	0.01196789008955	0.0	0.0	0.0	0.1929456591205849	0.7418346306605516
k__Bacteria|p__Pseudomonadota	1.4256699999593112	0.936591211086396	0.6081175258142711	1.7017951507042528	5.860625641877902	3.39573010706602	1.570703213812418	0.7739646717810265	3.567189197897628	0.7060219768582878	4.838442973291592	3.1848872008695475	3.337744361952169	0.948844970073841	3.137227319747492	1.8364461232148288	26.584188737904164	0.383434367353661	2.061295505674176	1.5596513762953947	0.4455593400156877	3.1462824805919647	2.5433241373110413	32.069120986240584	1.029655195285749	1.7038714523708909	0.6914302966801119	1.4145180817891871	3.5384165628089845	0.9498277957994616	1.7163878976201414	3.765456083551752	2.3553438584168704	3.6307039537169055	0.7798661839738791	0.1007710857771119	1.7145109903153926	5.032527443813614	11.555580305512503
k__Bacteria|p__Lentisphaerota	0.4067030337101878	0.0	0.0	0.1336255423534084	0.0	0.0	0.0040624352655449	0.0	0.1250552660160994	0.0	0.4792542240376445	0.0078827857687971	0.0	0.0	0.0474306684017955	0.0	0.0	0.0	0.0935962376336875	0.0	0.0	0.0	0.0065880514823401	0.0282024159307721	0.0	0.0	0.0	0.0	0.0	0.0423519131183951	0.0	0.0	0.0	0.0	0.048121574775007	0.0038136643669096	0.0	0.0	0.1115980666287972
k__Bacteria|p__Thermodesulfobacteriota	0.3329361883738354	0.2864808782970682	0.2660827257740004	0.5532196699713137	0.1436104558337725	0.5492541693642241	0.0291576562185565	0.4530908840181988	0.4681984675202127	0.4323019292988283	0.2431958738278139	0.0626564910450832	0.3685338706295962	0.2964418038393093	2.425328966403791	0.1289880088874284	0.0	0.1121185083011516	0.2800306722499612	0.645281034207541	0.6631204479799148	0.1695703944392168	0.1167663499708516	0.3818001114700758	0.7623904548867269	0.0577304601861995	0.3674686573196267	0.2589537855875299	0.0088291315360012	0.7453243909570002	0.7520614212375857	0.1122187973053825	0.0206216655973319	0.1841799301539652	0.0884515057722245	0.0072016577680367	0.3278395326554782	0.2305559679654864	0.8488257471340188
k__Bacteria|p__Actinomycetota	0.0704881224874501	0.0211023277560228	0.0535523047700948	0.1816381077374105	0.0407001471351639	0.1832672288608044	0.0529557803240327	0.0769489406323223	0.115816859170971	0.5860841062338409	0.2994083556885382	0.7970765601200275	0.0208230462508371	10.22588741341819	0.1538985472806047	0.2049066166271055	0.2949189372277576	0.1509990735432554	0.1308970655344338	0.1690152097205981	0.4355771450588281	0.1788447414629264	3.4828214540145104	0.0044564478726972	0.8691708789737952	0.4129631814521198	1.509198280126193	0.2087253102188728	1.0109829274576376	0.1808023772686717	0.0284842170964914	0.0410556575507497	0.4265507876655057	1.110359532433887	0.7492738139312992	0.1192573677196717	0.4382863598177306	0.4965093335376857	0.0636106088392833
